Net Demand 03/27/2019undefined,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Hour-ahead forecast,20934,20761,20761,20761,20563,20563,20563,20401,20401,20401,20016,20016,20016,19991,19991,19991,19808,19808,19808,19721,19721,19721,19479,19479,19479,19389,19389,19389,19290,19290,19290,19202,19202,19202,19194,19194,19194,19143,19143,19143,19133,19133,19133,19071,19071,19071,19125,19125,19125,19347,19347,19347,19489,19489,19489,19628,19628,19628,19866,19866,19866,20090,20090,20090,20506,20506,20506,21095,21095,21095,21552,21552,21552,22402,22402,22402,23071,23071,23071,23684,23684,23684,23996,23996,23996,24442,24442,24442,24684,24684,24684,24759,24759,24759,24602,24602,24602,24866,24866,24866,24860,24860,24860,24800,24800,24800,24750,24750,24750,24675,24675,24675,24644,24644,24644,24514,24514,24514,24405,24405,24405,24244,24244,24244,24118,24118,24118,23999,23999,23999,23929,23929,23929,23714,23714,23714,23518,23518,23518,23480,23480,23480,23332,23332,23332,23038,23038,23038,22881,22881,22881,22889,22889,22889,22887,22887,22887,22562,22562,22562,22490,22490,22490,22363,22363,22363,22763,22763,22763,22752,22752,22752,22154,22154,22154,22251,22251,22251,22164,22164,22164,21876,21876,21876,21860,21860,21860,21890,21890,21890,21863,21863,21863,22110,22110,22110,22260,22260,22260,22474,22474,22474,22839,22839,22839,22854,22854,22854,23067,23067,23067,23445,23445,23445,23745,23745,23745,24085,24085,24085,24338,24338,24338,24770,24770,24770,25232,25232,25232,25842,25842,25842,26468,26468,26468,26724,26724,26724,26911,26911,26911,26788,26788,26788,26703,26703,26703,26538,26538,26538,26215,26215,26215,25729,25729,25729,25407,25407,25407,24978,24978,24978,24573,24573,24573,23999,23999,23999,23525,23525,23525,23082,23082,23082,22533,22533,22533,22038,22038,22038,21647,21647,21647,21485,21485,21485,21125,21125
Demand,20890,20854,20910,20875,20473,20537,20474,20386,20312,20255,20216,20146,20065,20042,20028,19944,19821,19734,19716,19634,19596,19558,19484,19440,19378,19355,19420,19362,19374,19327,19277,19201,19162,19129,19111,19103,19083,19037,19031,19036,19028,19001,18995,19004,19027,19026,19086,19105,19189,19209,19306,19364,19438,19424,19507,19630,19608,19585,19600,19678,19749,19988,20338,20490,20582,20706,20716,20850,21123,21143,21342,21500,21745,22214,22547,22731,22824,23127,23321,23549,23744,23781,23879,24040,24155,24352,24449,24516,24594,24590,24634,24729,24757,24743,24787,24720,24713,24759,24828,24849,24834,24828,24782,24738,24707,24714,24681,24663,24647,24662,24621,24621,24594,24545,24507,24507,24423,24341,24349,24280,24214,24206,24222,24232,24244,24146,24054,24029,23974,23893,23773,23816,23782,23719,23800,23602,23580,23553,23507,23463,23485,23304,23218,23174,23125,23051,23107,23104,23000,22986,22999,22879,22819,22729,22762,22634,22512,22562,22531,22385,22323,22361,23523,23479,23442,22864,22254,22213,22264,22258,22326,22229,22256,22206,22136,22025,22050,21983,21906,21930,21965,21921,21861,21773,21777,21781,21888,21919,21866,21956,22008,22059,22107,22104,22161,22287,22338,22460,22415,22478,22524,22643,22661,22771,22852,22918,22990,23063,23123,23215,23275,23357,23477,23574,23763,23890,24051,24037,24092,24252,24336,24425,24622,24731,24875,25011,25206,25353,25510,25533,25701,25850,26035,26263,26485,26641,26758,26836,26874,26877,26862,26828,26798,26730,26726,26657,26540,26361,26293,26260,26187,26049,25944,25827,25673,25574,25503,25385,25251,25107,24969,24831,24718,24550,24389,24199,24046,23823,23669,23478,23346,23191,23010,22818,22634,22483,22337,22306,22191,22023,21924,21810,21647,21528,21403,21247,21104,20976
Day-ahead net forecast,19651,19575,19589,19628,19375,19228,19180,19178,19075,19074,19036,18949,18897,18857,18843,18776,18626,18501,18454,18324,18255,18213,18094,17990,17894,17815,17851,17847,17858,17835,17798,17748,17700,17646,17639,17593,17566,17493,17465,17460,17448,17428,17389,17355,17314,17264,17234,17188,17157,17148,17255,17252,17316,17272,17261,17339,17299,17293,17272,17361,17490,17638,18131,18400,18591,18759,18923,19004,19252,19361,19444,19707,19849,20289,20713,20980,21142,21283,21579,21745,22012,22026,22086,22208,22403,22442,22500,22505,22466,22418,22341,22369,22287,22132,21986,21987,21808,21609,21469,21276,20922,20723,20409,20152,20074,19996,19809,19510,19442,19370,19373,19181,18970,18813,18560,18384,18162,18100,18055,17769,17568,17381,17307,17196,16917,16991,16909,16683,16629,16445,16137,15841,15503,15394,15424,15145,15024,14889,14646,14448,14217,14245,13941,14143,14293,14200,14191,14252,14352,14065,13899,13649,13703,13555,13498,13554,13449,13265,13280,13164,13032,13128,13542,14075,14083,13790,12995,12758,12583,12432,12474,12449,12201,12127,12004,11945,12286,12531,12541,12483,12550,12672,12824,12990,12992,12925,13286,13471,13691,13550,13650,13587,13508,13641,13534,13765,13758,13637,14101,13824,13913,13977,14200,14477,14493,14710,15004,14861,15032,15220,15691,15963,16350,16618,17097,17618,18146,18575,18759,19243,19841,20380,20867,21304,21688,22056,22365,22553,22796,22941,23186,23416,23736,24044,24335,24566,24756,24901,24970,24982,24959,24911,24785,24679,24590,24502,24345,24226,24128,24135,24060,23974,23846,23737,23533,23379,23311,23263,23104,23009,22856,22677,22506,22368,22249,22087,21926,21746,21548,21325,21150,21001,20831,20611,20431,20256,20143,20040,19980,19867,19726,19699,19526,19416,19268,19125,18960,18867
Large hydro,3988,3871,3848,3779,3760,3740,3763,3761,3753,3754,3752,3741,3714,3678,3677,3675,3677,3657,3656,3633,3642,3646,3657,3633,3636,3652,3666,3658,3637,3589,3584,3605,3627,3384,3309,3309,3321,3346,3368,3366,3359,3343,3332,3336,3333,3326,3315,3317,3310,3388,3449,3479,3440,3483,3476,3454,3422,3470,3476,3494,3474,3439,3478,3491,3495,3548,3567,3580,3620,3587,3890,3860,3857,4005,4052,4088,4110,4102,4100,4107,4129,4110,4134,4144,4122,4163,4179,4173,4164,4149,4162,4166,4160,4088,4067,4110,4157,3987,4039,4027,3986,3969,3957,4003,4037,4078,4053,4001,3969,3855,3909,3824,3770,3760,3746,3759,3770,3800,3833,3792,3774,3744,3763,3714,3603,3663,3740,3728,3754,3683,3707,3682,3697,3445,3372,3324,3371,3316,3266,3243,3255,3296,3311,3355,3392,3211,3158,3091,3118,3060,3000,2924,3045,3079,3087,3108,3103,3014,2992,2971,2986,3017,3019,3010,3025,3025,3014,2999,2953,2857,2986,3014,2892,2892,2853,2953,3012,3069,3090,3007,2985,3057,3193,3192,3201,3182,3231,3214,3224,3150,3116,3106,3081,3142,3266,3181,3165,3083,3160,3165,3130,3158,3227,3287,3291,3635,3805,3722,3765,3718,3740,3747,3741,3760,3867,3877,3977,4226,4359,4298,4363,4426,4432,4393,4364,4393,4319,4342,4309,4443,4562,4520,4508,4515,4499,4410,4417,4367,4367,4353,4365,4323,4375,4318,4266,4256,4300,4228,4214,4188,4192,4188,4196,4141,4192,4178,4180,4167,4131,4119,4138,4133,4128,4125,4135,4102,4083,4031,4012,3983,3983,3980,3957,3947,3944,3940,3928,3884,3913,3937,3973,3922,3888,3875,3846,3832,3825,3811
Imports,6328,6388,6401,6385,6326,6328,6305,6293,6326,6346,6306,6298,6329,6390,6511,6561,6512,6489,6506,6490,6405,6330,6184,6121,6043,5975,5985,5962,5921,6001,6002,6028,5915,6075,6103,6111,6099,5964,5928,5943,5952,5967,5970,5948,5899,5849,5843,5724,5741,5633,5657,5640,5656,5557,5578,5648,5586,5544,5590,5691,5772,5598,5731,5899,5892,5935,5923,6030,6217,6222,6135,6337,6639,6884,7136,7238,7262,7308,7406,7567,7671,7710,7731,7719,7731,7670,7582,7503,7415,7344,7289,7259,7197,7097,7026,7033,6798,6670,6376,6193,6147,6131,5983,5978,5999,6006,6036,5910,5938,6020,5921,5865,5705,5491,5493,5366,5207,5214,5299,5122,5063,4944,4870,4783,4624,4639,4458,4353,4256,4124,3952,3753,3481,3746,3714,3720,3745,3760,3634,3469,3242,3031,2897,2964,2992,3043,3076,3150,3155,3007,3007,2865,2767,2605,2623,2641,2611,2579,2557,2443,2280,2331,2234,2174,2210,2166,2219,2087,2043,2094,1881,1677,1735,1807,1744,1430,1506,1530,1714,1863,1885,1851,1719,1901,1999,2051,2199,2349,2636,2643,2791,2689,2585,2704,2482,2767,2775,2689,2914,2724,2798,2839,2922,2949,2993,2910,3002,2900,2936,3123,3377,3688,4049,4277,4671,4903,5318,5682,5853,6371,6739,7069,7301,7440,7571,7731,7930,8022,8273,8407,8618,8662,8772,9019,9212,9300,9462,9457,9495,9529,9480,9532,9420,9351,9331,9263,9186,9154,9161,9187,9070,8975,8925,8908,8751,8714,8700,8694,8659,8597,8465,8360,8299,8156,8025,8044,7954,7850,7803,7704,7719,7622,7492,7378,7281,7276,7375,7606,7678,7622,7540,7562,7569,7526,7492,7444,7383,7230
netd,9335,9316,9340,9464,9289,9160,9112,9124,8996,8974,8978,8910,8854,8789,8655,8540,8437,8355,8292,8201,8208,8237,8253,8236,8215,8188,8200,8227,8300,8245,8212,8115,8158,8187,8227,8173,8146,8183,8169,8151,8137,8118,8087,8071,8082,8089,8076,8147,8106,8127,8149,8133,8220,8232,8207,8237,8291,8279,8206,8176,8244,8601,8922,9010,9204,9276,9433,9394,9415,9552,9419,9510,9353,9400,9525,9654,9770,9873,10073,10071,10212,10206,10221,10345,10550,10609,10739,10829,10887,10925,10890,10944,10930,10947,10893,10844,10853,10952,11054,11056,10789,10623,10469,10171,10038,9912,9720,9599,9535,9495,9543,9492,9495,9562,9321,9259,9185,9086,8923,8855,8731,8693,8674,8699,8690,8689,8711,8602,8619,8638,8478,8406,8325,8203,8338,8101,7908,7813,7746,7736,7720,7918,7733,7824,7909,7946,7957,8011,8079,7998,7892,7860,7891,7871,7788,7805,7735,7672,7731,7750,7766,7780,8289,8891,8848,8599,7762,7672,7587,7481,7607,7758,7574,7428,7407,7562,7768,7932,7737,7613,7680,7764,7912,7897,7792,7692,7856,7908,7831,7757,7743,7792,7842,7795,7786,7817,7818,7865,8027,7935,7985,7980,8051,8241,8209,8165,8197,8239,8331,8379,8574,8528,8560,8581,8559,8838,8851,8667,8547,8574,8739,8885,9134,9471,9753,9932,10116,10189,10214,10091,10006,10234,10456,10510,10624,10856,10877,11077,11108,11100,11114,11056,10990,11010,10993,10983,10859,10844,10753,10760,10798,10811,10725,10688,10590,10487,10431,10402,10314,10293,10253,10184,10079,10087,10089,9941,9889,9865,9733,9638,9448,9399,9382,9286,9206,9040,8840,8550,8389,8308,8213,8215,8069,8015,7930,7849,7752,7826
td-im,14562,14466,14509,14490,14147,14209,14169,14093,13986,13909,13910,13848,13736,13652,13517,13383,13309,13245,13210,13144,13191,13228,13300,13319,13335,13380,13435,13400,13453,13326,13275,13173,13247,13054,13008,12992,12984,13073,13103,13093,13076,13034,13025,13056,13128,13177,13243,13381,13448,13576,13649,13724,13782,13867,13929,13982,14022,14041,14010,13987,13977,14390,14607,14591,14690,14771,14793,14820,14906,14921,15207,15163,15106,15330,15411,15493,15562,15819,15915,15982,16073,16071,16148,16321,16424,16682,16867,17013,17179,17246,17345,17470,17560,17646,17761,17687,17915,18089,18452,18656,18687,18697,18799,18760,18708,18708,18645,18753,18709,18642,18700,18756,18889,19054,19014,19141,19216,19127,19050,19158,19151,19262,19352,19449,19620,19507,19596,19676,19718,19769,19821,20063,20301,19973,20086,19882,19835,19793,19873,19994,20243,20273,20321,20210,20133,20008,20031,19954,19845,19979,19992,20014,20052,20124,20139,19993,19901,19983,19974,19942,20043,20030,21289,21305,21232,20698,20035,20126,20221,20164,20445,20552,20521,20399,20392,20595,20544,20453,20192,20067,20080,20070,20142,19872,19778,19730,19689,19570,19230,19313,19217,19370,19522,19400,19679,19520,19563,19771,19501,19754,19726,19804,19739,19822,19859,20008,19988,20163,20187,20092,19898,19669,19428,19297,19092,18987,18733,18355,18239,17881,17597,17356,17321,17291,17304,17280,17276,17331,17237,17126,17083,17188,17263,17244,17273,17341,17296,17379,17379,17348,17382,17296,17378,17379,17395,17394,17354,17207,17132,17073,17117,17074,17019,16919,16922,16860,16803,16691,16592,16510,16504,16471,16419,16394,16364,16155,16092,15973,15866,15774,15627,15569,15518,15440,15353,15207,14962,14700,14513,14401,14384,14248,14078,14002,13911,13803,13721,13746
netd+im,15663,15704,15741,15849,15615,15488,15417,15417,15322,15320,15284,15208,15183,15179,15166,15101,14949,14844,14798,14691,14613,14567,14437,14357,14258,14163,14185,14189,14221,14246,14214,14143,14073,14262,14330,14284,14245,14147,14097,14094,14089,14085,14057,14019,13981,13938,13919,13871,13847,13760,13806,13773,13876,13789,13785,13885,13877,13823,13796,13867,14016,14199,14653,14909,15096,15211,15356,15424,15632,15774,15554,15847,15992,16284,16661,16892,17032,17181,17479,17638,17883,17916,17952,18064,18281,18279,18321,18332,18302,18269,18179,18203,18127,18044,17919,17877,17651,17622,17430,17249,16936,16754,16452,16149,16037,15918,15756,15509,15473,15515,15464,15357,15200,15053,14814,14625,14392,14300,14222,13977,13794,13637,13544,13482,13314,13328,13169,12955,12875,12762,12430,12159,11806,11949,12052,11821,11653,11573,11380,11205,10962,10949,10630,10788,10901,10989,11033,11161,11234,11005,10899,10725,10658,10476,10411,10446,10346,10251,10288,10193,10046,10111,10523,11065,11058,10765,9981,9759,9630,9575,9488,9435,9309,9235,9151,8992,9274,9462,9451,9476,9565,9615,9631,9798,9791,9743,10055,10257,10467,10400,10534,10481,10427,10499,10268,10584,10593,10554,10941,10659,10783,10819,10973,11190,11202,11075,11199,11139,11267,11502,11951,12216,12609,12858,13230,13741,14169,14349,14400,14945,15478,15954,16435,16911,17324,17663,18046,18211,18487,18498,18624,18896,19228,19529,19836,20156,20339,20534,20603,20629,20594,20588,20410,20361,20324,20246,20045,19998,19914,19947,19868,19786,19650,19596,19341,19201,19131,19096,18973,18890,18718,18544,18378,18243,18114,17985,17843,17715,17536,17342,17167,17021,16874,16664,16487,16316,16215,16156,16067,15930,15753,15777,15638,15541,15422,15293,15135,15056
