Supply 03/27/2019 Effective Dec. 13,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,3290,3293,3278,3261,3262,3271,3253,3219,3193,3170,3163,3160,3124,3121,3111,3123,3165,3180,3219,3245,3262,3292,3342,3395,3419,3459,3465,3447,3444,3435,3415,3392,3385,3399,3407,3427,3438,3475,3484,3493,3502,3510,3535,3566,3624,3675,3749,3847,3914,3965,3986,4039,4080,4111,4162,4232,4280,4268,4257,4239,4185,4126,4063,3992,3911,3836,3752,3715,3701,3708,3704,3702,3699,3689,3663,3616,3627,3646,3645,3639,3638,3680,3689,3683,3715,3758,3857,3929,4025,4067,4156,4274,4399,4561,4708,4680,4836,5068,5252,5525,5825,6036,6329,6503,6545,6613,6863,7088,7115,7196,7180,7342,7523,7673,7875,8020,8186,8187,8227,8440,8557,8719,8829,8943,9229,9050,9110,9283,9291,9415,9598,9908,10200,10200,10272,10411,10402,10564,10753,10919,11045,11047,11117,10909,10719,10713,10752,10732,10587,10797,10992,11156,10972,11078,11111,10985,10968,11131,11134,11120,11137,11097,11246,11305,11225,11311,11196,11336,11539,11677,11648,11659,11879,11963,12011,11972,11595,11345,11236,11268,11274,11120,10918,10654,10690,10681,10472,10291,10093,10259,10218,10342,10437,10365,10477,10380,10450,10680,10282,10540,10467,10523,10302,10106,10220,10064,9906,10092,9978,9888,9511,9257,9011,8820,8489,8128,7749,7384,7186,6852,6378,5895,5567,5280,5021,4796,4682,4645,4587,4496,4402,4324,4197,4104,4030,3989,3930,3889,3883,3876,3866,3926,4011,4065,4137,4181,4219,4176,4150,4124,4136,4112,4116,4132,4167,4172,4142,4113,4113,4085,4106,4142,4185,4194,4142,4115,4108,4091,4118,4152,4172,4182,4178,4186,4205,4189,4179,4198,4185,4132,4117,4096,4082,4074,4095,4104,4102,4083
Natural gas,4989,5041,5032,5181,4850,5016,4969,4869,4821,4784,4801,4761,4738,4708,4594,4451,4320,4237,4185,4082,4132,4101,4126,4105,4069,4122,4112,4083,4176,4093,4058,4007,4033,4172,4436,4385,4356,4399,4374,4352,4329,4292,4281,4281,4287,4314,4320,4354,4373,4342,4348,4300,4298,4322,4379,4440,4385,4404,4355,4316,4382,4908,5110,5173,5337,5409,5461,5528,5576,5598,5458,5342,5307,5473,5447,5530,5550,5815,5909,5991,6059,6006,6073,6182,6280,6495,6535,6632,6736,6737,6790,6768,6754,6734,6776,6658,6656,6676,6877,6797,6664,6459,6269,6042,5856,5671,5439,5376,5346,5268,5297,5202,5286,5369,5169,5096,4977,4876,4684,4601,4538,4524,4525,4529,4526,4583,4495,4346,4373,4331,4257,4257,4236,4217,4421,4172,4149,4010,3968,4028,4110,4053,3938,3987,4008,4226,4477,4552,4613,4556,4550,4436,4564,4392,4368,4339,4240,4253,4340,4295,4373,4347,5441,5428,5419,4775,4247,4230,4189,4093,4316,4269,4166,3995,3985,4126,4360,4396,4225,4197,4275,4344,4477,4354,4238,4253,4362,4375,4283,4306,4369,4364,4413,4187,4023,4074,4046,4146,4241,4161,4255,4273,4301,4441,4404,4308,4050,4058,4169,4237,4376,4286,4360,4419,4427,4592,4683,4469,4343,4510,4664,4744,4959,5266,5616,5865,6047,6173,6124,5996,5847,6006,6253,6343,6455,6669,6680,6841,6878,6855,6911,6784,6761,6740,6818,6829,6632,6537,6504,6493,6525,6517,6444,6367,6335,6227,6212,6071,6071,6026,6011,5937,5852,5814,5831,5623,5571,5531,5451,5386,5231,5172,5128,5079,4975,4834,4616,4348,4100,4034,3956,3899,3841,3800,3711,3628,3549,3601
Large hydro,3988,3871,3848,3779,3760,3740,3763,3761,3753,3754,3752,3741,3714,3678,3677,3675,3677,3657,3656,3633,3642,3646,3657,3633,3636,3652,3666,3658,3637,3589,3584,3605,3627,3384,3309,3309,3321,3346,3368,3366,3359,3343,3332,3336,3333,3326,3315,3317,3310,3388,3449,3479,3440,3483,3476,3454,3422,3470,3476,3494,3474,3439,3478,3491,3495,3548,3567,3580,3620,3587,3890,3860,3857,4005,4052,4088,4110,4102,4100,4107,4129,4110,4134,4144,4122,4163,4179,4173,4164,4149,4162,4166,4160,4088,4067,4110,4157,3987,4039,4027,3986,3969,3957,4003,4037,4078,4053,4001,3969,3855,3909,3824,3770,3760,3746,3759,3770,3800,3833,3792,3774,3744,3763,3714,3603,3663,3740,3728,3754,3683,3707,3682,3697,3445,3372,3324,3371,3316,3266,3243,3255,3296,3311,3355,3392,3211,3158,3091,3118,3060,3000,2924,3045,3079,3087,3108,3103,3014,2992,2971,2986,3017,3019,3010,3025,3025,3014,2999,2953,2857,2986,3014,2892,2892,2853,2953,3012,3069,3090,3007,2985,3057,3193,3192,3201,3182,3231,3214,3224,3150,3116,3106,3081,3142,3266,3181,3165,3083,3160,3165,3130,3158,3227,3287,3291,3635,3805,3722,3765,3718,3740,3747,3741,3760,3867,3877,3977,4226,4359,4298,4363,4426,4432,4393,4364,4393,4319,4342,4309,4443,4562,4520,4508,4515,4499,4410,4417,4367,4367,4353,4365,4323,4375,4318,4266,4256,4300,4228,4214,4188,4192,4188,4196,4141,4192,4178,4180,4167,4131,4119,4138,4133,4128,4125,4135,4102,4083,4031,4012,3983,3983,3980,3957,3947,3944,3940,3928,3884,3913,3937,3973,3922,3888,3875,3846,3832,3825,3811
Imports,6328,6388,6401,6385,6326,6328,6305,6293,6326,6346,6306,6298,6329,6390,6511,6561,6512,6489,6506,6490,6405,6330,6184,6121,6043,5975,5985,5962,5921,6001,6002,6028,5915,6075,6103,6111,6099,5964,5928,5943,5952,5967,5970,5948,5899,5849,5843,5724,5741,5633,5657,5640,5656,5557,5578,5648,5586,5544,5590,5691,5772,5598,5731,5899,5892,5935,5923,6030,6217,6222,6135,6337,6639,6884,7136,7238,7262,7308,7406,7567,7671,7710,7731,7719,7731,7670,7582,7503,7415,7344,7289,7259,7197,7097,7026,7033,6798,6670,6376,6193,6147,6131,5983,5978,5999,6006,6036,5910,5938,6020,5921,5865,5705,5491,5493,5366,5207,5214,5299,5122,5063,4944,4870,4783,4624,4639,4458,4353,4256,4124,3952,3753,3481,3746,3714,3720,3745,3760,3634,3469,3242,3031,2897,2964,2992,3043,3076,3150,3155,3007,3007,2865,2767,2605,2623,2641,2611,2579,2557,2443,2280,2331,2234,2174,2210,2166,2219,2087,2043,2094,1881,1677,1735,1807,1744,1430,1506,1530,1714,1863,1885,1851,1719,1901,1999,2051,2199,2349,2636,2643,2791,2689,2585,2704,2482,2767,2775,2689,2914,2724,2798,2839,2922,2949,2993,2910,3002,2900,2936,3123,3377,3688,4049,4277,4671,4903,5318,5682,5853,6371,6739,7069,7301,7440,7571,7731,7930,8022,8273,8407,8618,8662,8772,9019,9212,9300,9462,9457,9495,9529,9480,9532,9420,9351,9331,9263,9186,9154,9161,9187,9070,8975,8925,8908,8751,8714,8700,8694,8659,8597,8465,8360,8299,8156,8025,8044,7954,7850,7803,7704,7719,7622,7492,7378,7281,7276,7375,7606,7678,7622,7540,7562,7569,7526,7492,7444,7383,7230
Batteries,3,63,31,19,-32,-67,-16,-16,-42,-49,-33,-54,-66,-80,-76,-59,-65,-26,-45,-36,-11,-20,-6,-11,4,-8,-6,5,-21,4,4,-8,-8,2,-7,-3,-7,-3,-7,1,2,3,2,2,-13,-7,-9,4,-14,-1,2,0,51,35,-53,-44,7,-5,10,-9,6,-5,25,13,26,86,72,92,103,94,29,11,-16,2,26,47,19,17,17,22,45,17,42,41,17,28,19,4,-4,0,-12,-4,-22,-53,-57,-4,43,46,28,1,-54,-24,-31,-18,52,80,69,-9,2,57,95,58,-15,-20,0,5,1,45,95,17,1,1,-16,-33,-79,-19,60,37,57,62,9,-47,-66,40,118,50,3,-15,-77,-67,-63,8,9,85,99,47,-28,-39,3,-77,-105,-98,-26,-5,-49,-4,-1,-63,-65,-38,-41,2,-1,-10,2,2,0,-39,-67,-63,-34,-14,-51,-40,-25,-14,58,57,22,-51,-60,-56,22,67,34,18,79,62,14,-46,-63,-30,-41,-19,-24,-26,-23,-70,-7,-10,-45,-30,6,89,16,-5,-12,-9,-58,-18,78,66,30,34,66,94,85,79,-39,-82,-18,35,59,17,-20,-52,-91,-83,-87,15,33,33,33,30,29,10,30,20,19,19,11,28,27,-39,-88,-84,-20,5,29,25,25,25,25,36,24,23,75,67,41,25,24,24,24,24,28,94,39,65,28,8,3,-3,-3,-3,-3,-3,2,69,65,93,81,55,18,16,13,12,11,2
Nuclear,2259,2258,2257,2259,2259,2259,2261,2261,2261,2262,2261,2263,2262,2263,2263,2264,2263,2263,2262,2262,2262,2262,2262,2262,2262,2260,2259,2258,2257,2256,2258,2257,2258,2259,2259,2258,2259,2260,2258,2259,2258,2258,2258,2259,2257,2258,2258,2258,2258,2259,2258,2259,2257,2258,2260,2259,2259,2259,2258,2260,2259,2259,2259,2259,2258,2258,2258,2257,2258,2258,2257,2258,2255,2257,2256,2256,2256,2258,2258,2258,2257,2258,2257,2257,2258,2257,2257,2257,2256,2257,2257,2258,2258,2258,2258,2258,2257,2257,2256,2256,2256,2255,2256,2256,2256,2255,2255,2255,2256,2256,2255,2255,2256,2255,2256,2256,2255,2256,2255,2256,2255,2255,2254,2254,2254,2255,2255,2255,2256,2255,2255,2254,2255,2255,2255,2255,2256,2255,2256,2256,2256,2256,2255,2255,2255,2254,2254,2254,2253,2254,2255,2253,2254,2254,2254,2254,2255,2254,2255,2255,2256,2255,2255,2254,2255,2254,2255,2255,2254,2254,2253,2253,2253,2253,2253,2253,2253,2253,2253,2254,2254,2255,2255,2255,2255,2255,2255,2255,2256,2255,2255,2256,2256,2255,2255,2254,2254,2255,2253,2254,2255,2254,2255,2254,2254,2256,2257,2257,2256,2255,2254,2255,2255,2256,2256,2255,2255,2256,2255,2254,2254,2256,2256,2256,2258,2256,2258,2257,2258,2257,2257,2258,2257,2257,2258,2258,2256,2258,2257,2257,2256,2256,2256,2255,2255,2256,2254,2255,2254,2255,2255,2255,2256,2255,2255,2256,2255,2256,2255,2256,2257,2256,2256,2256,2255,2254,2255,2255,2254,2256,2256,2256,2256,2256,2256,2256,2257,2256,2257,2256,2256,2256,2257,2256,2256,2256,2257,2257
Coal,10,11,10,8,8,8,8,10,10,10,10,9,9,9,9,9,9,9,9,9,9,10,9,10,9,10,9,9,9,9,9,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,11,11,12,11,11,12,12,12,12,12,12,12,11,12,10,10,10,10,10,10,10,10,11,11,11,11,11,11,10,11,11,12,11,11,11,11,11,12,11,10,11,11,11,11,11,11,10,10,10,10,10,11,13,13,12,13,13,13,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,11,11,11,11,10,10,11,10,10,11,11,10,10,10,10,11,11,11,11,11,10,10,10,10,10,9,10,10,10,10,10,10,11,10,10,11,10,10,10,10,10,10,11,10,10,10,11,10,10,10,9,9,10,9,9,9,9,9,10,11,11,10,11,11,11,11,11,11,11,11,11,11,10,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,11,10,11,11,10,11,11,11,11,10,10,10,10,10,11,11,10,9,10,10,11,11,10,10,10,11,11,11,10,10,10,10,11,11,11,11,11,11,11,12,11,11,11,10,9,10,9,10,10,11,11,11,10,11,11,10,11,10,10,10,10
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,41,86,154,235,316,411,522,619,727,902,1055,1056,1192,1423,1638,1929,2239,2475,2793,2974,2988,3034,3272,3487,3505,3582,3519,3680,3883,4035,4250,4430,4611,4619,4657,4888,5015,5160,5239,5335,5642,5486,5545,5722,5694,5814,5953,6185,6434,6430,6501,6656,6622,6746,6917,7101,7249,7263,7296,7113,6940,6936,7012,7022,6875,7094,7293,7448,7292,7410,7457,7296,7185,7300,7250,7187,7153,7100,7203,7235,7092,7097,6974,7101,7360,7511,7526,7551,7768,7830,7887,7849,7456,7108,6943,6884,6826,6627,6441,6147,6162,6154,5940,5674,5487,5684,5668,5710,5796,5694,5778,5648,5730,6003,5602,5849,5712,5716,5489,5286,5445,5327,5191,5430,5345,5265,4961,4790,4573,4406,4089,3743,3384,3017,2820,2511,2060,1646,1348,1076,810,565,409,301,219,147,66,32,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0
Wind,1283,1291,1277,1261,1285,1309,1296,1260,1233,1209,1202,1215,1203,1202,1192,1204,1248,1263,1299,1329,1345,1373,1427,1478,1504,1539,1542,1527,1524,1517,1499,1479,1476,1489,1495,1515,1529,1561,1570,1575,1585,1592,1618,1650,1707,1761,1833,1928,1997,2034,2037,2080,2119,2147,2199,2268,2318,2303,2295,2279,2242,2189,2115,2042,1964,1887,1811,1778,1765,1775,1768,1762,1754,1743,1716,1669,1679,1699,1699,1698,1698,1738,1747,1732,1738,1742,1771,1766,1775,1766,1742,1726,1737,1723,1724,1701,1717,1717,1689,1675,1667,1642,1630,1628,1652,1674,1681,1693,1708,1710,1759,1759,1740,1733,1720,1688,1676,1667,1670,1653,1649,1664,1692,1711,1688,1661,1662,1653,1688,1690,1736,1815,1869,1889,1901,1890,1916,1954,1975,1958,1929,1921,1958,1930,1912,1913,1880,1850,1854,1842,1835,1842,1817,1808,1798,1832,1929,1980,2030,2079,2128,2140,2185,2213,2280,2360,2367,2379,2325,2313,2268,2253,2265,2285,2273,2268,2280,2379,2435,2523,2589,2629,2610,2641,2662,2657,2658,2739,2729,2698,2673,2756,2762,2786,2814,2845,2832,2788,2791,2805,2866,2919,2925,2932,2888,2841,2796,2741,2709,2698,2625,2540,2507,2485,2466,2454,2438,2438,2432,2411,2387,2325,2298,2283,2293,2315,2359,2422,2445,2418,2375,2322,2222,2131,2052,2010,1953,1913,1907,1905,1896,1939,2017,2071,2145,2192,2235,2195,2172,2144,2153,2129,2138,2157,2193,2229,2210,2182,2182,2154,2176,2208,2248,2257,2207,2179,2174,2165,2192,2226,2249,2258,2256,2265,2289,2275,2263,2277,2266,2216,2200,2181,2168,2162,2180,2189,2194,2175
