Net Demand 01/19/2019undefined,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,0:00
Hour-ahead forecast,21176,20944,20944,20944,20704,20704,20704,20478,20478,20478,20160,20160,20160,19978,19978,19978,19789,19789,19789,19604,19604,19604,19401,19401,19401,19320,19320,19320,19202,19202,19202,19073,19073,19073,18984,18984,18984,18931,18931,18931,18885,18885,18885,18853,18853,18853,18824,18824,18824,18909,18909,18909,18963,18963,18963,19053,19053,19053,19139,19139,19139,19384,19384,19384,19565,19565,19565,19676,19676,19676,19907,19907,19907,20359,20359,20359,20654,20654,20654,20858,20858,20858,20960,20960,20960,21141,21141,21141,21215,21215,21215,21195,21195,21195,21226,21226,21226,21233,21233,21233,21248,21248,21248,21149,21149,21149,21009,21009,21009,20775,20775,20775,20651,20651,20651,20494,20494,20494,20374,20374,20374,20280,20280,20280,20141,20141,20141,19954,19954,19954,19845,19845,19845,19617,19617,19617,19508,19508,19508,19444,19444,19444,19463,19463,19463,19397,19397,19397,19363,19363,19363,19245,19245,19245,19254,19254,19254,19289,19289,19289,19332,19332,19332,19406,19406,19406,19537,19537,19537,19621,19621,19621,19746,19746,19746,19813,19813,19813,19987,19987,19987,20210,20210,20210,20433,20433,20433,20699,20699,20699,21052,21052,21052,21531,21531,21531,21931,21931,21931,22455,22455,22455,23093,23093,23093,23526,23526,23526,24317,24317,24317,24823,24823,24823,25043,25043,25043,24863,24863,24863,24831,24831,24831,24751,24751,24751,24651,24651,24651,24610,24610,24610,24489,24489,24489,24323,24323,24323,24124,24124,24124,24046,24046,24046,23905,23905,23905,23715,23715,23715,23517,23517,23517,23317,23317,23317,23115,23115,23115,22837,22837,22837,22522,22522,22522,22213,22213,22213,21951,21951,21951,21669,21669,21669,21291,21291,21291,20955,20955,20955,20686,20686,20686,20414,20414,20414,20084,20084,20084
Demand,21051,21000,20977,20893,20789,20661,20547,20451,20376,20293,20222,20169,20067,20021,19927,19882,19750,19716,19669,19595,19556,19502,19480,19410,19322,19289,19260,19225,19213,19144,19105,19052,19036,18991,18955,18946,18939,18907,18894,18887,18845,18828,18806,18798,18791,18759,18766,18760,18792,18843,18865,18902,18909,18906,18914,18946,18995,19018,19068,19106,19153,19229,19342,19414,19472,19518,19585,19622,19709,19758,19844,19906,20003,20194,20365,20462,20519,20600,20668,20761,20846,20890,20910,20973,21019,21079,21105,21105,21138,21153,21160,21197,21194,21184,21083,21100,21124,21176,21185,21247,21205,21189,21131,21094,21002,20943,20884,20813,20800,20769,20776,20744,20699,20657,20579,20540,20497,20446,20404,20372,20303,20254,20234,20263,20211,20146,20073,20024,19989,19888,19827,19772,19707,19691,19590,19554,19486,19623,19589,19546,19536,19457,19432,19429,19379,19331,19286,19246,19266,19270,19261,19275,19257,19274,19295,19272,19288,19286,19267,19255,19275,19363,19384,19404,19450,19454,19503,19515,19507,19531,19573,19629,19688,19710,19709,19826,19925,19952,19995,20047,20113,20184,20237,20266,20350,20488,20590,20719,20840,20944,21032,21146,21325,21390,21506,21638,21808,21964,22110,22245,22374,22511,22606,22807,23052,23190,23409,23613,23900,24007,24310,24525,24676,24743,24815,24844,24887,24856,24855,24859,24821,24835,24788,24815,24825,24777,24737,24725,24701,24659,24576,24566,24505,24463,24403,24361,24331,24268,24212,24158,24121,24078,23994,23974,23921,23882,23843,23826,23743,23670,23604,23546,23474,23385,23265,23189,23115,23049,22971,22873,22788,22721,22626,22543,22452,22333,22251,22163,22066,21945,21822,21717,21582,21500,21367,21280,21171,21048,20941,20825,20712,20618,20496,20416,20321,20224,20135,20043,
Day-ahead net forecast,20531,20439,20419,20380,20226,20124,20017,19890,19831,19742,19641,19616,19518,19464,19385,19336,19231,19151,19118,19033,18998,18919,18897,18863,18785,18709,18669,18637,18623,18596,18541,18513,18465,18442,18378,18374,18371,18336,18334,18320,18291,18257,18231,18220,18220,18190,18184,18170,18179,18196,18239,18257,18309,18305,18323,18326,18366,18405,18425,18495,18551,18602,18753,18848,18914,18986,19055,19115,19213,19275,19350,19397,19490,19659,19891,19997,20056,20111,20216,20282,20388,20417,20458,20492,20514,20508,20465,20382,20239,20112,19875,19634,19339,19052,18678,18342,18082,17879,17621,17257,16864,16403,15998,15542,15270,14993,14800,14462,14034,13743,13597,13496,13373,13075,12946,12710,12558,12383,12248,12162,12178,12182,12086,11925,11827,11813,11789,11558,11429,11430,11329,11265,11201,11138,11067,10993,11036,10826,10837,10808,10799,10870,10879,10643,10599,10753,10756,10774,10642,10577,10617,10685,10657,10617,10690,10693,10583,10695,10826,10647,10705,10627,10763,10661,10706,10953,10853,10988,10981,10926,10979,11091,11132,11368,11434,11467,11739,11897,12133,12309,12668,12744,12904,13451,13604,14029,14472,14782,15134,15660,16225,16744,17286,17797,18238,18814,19340,19780,20171,20631,20974,21296,21542,21838,22164,22415,22678,22930,23176,23518,23782,24033,24208,24295,24372,24390,24450,24422,24429,24414,24382,24357,24321,24297,24323,24282,24258,24209,24188,24179,24102,24041,24020,23962,23889,23826,23781,23709,23652,23593,23567,23504,23465,23393,23346,23341,23291,23274,23212,23121,23059,22999,22911,22855,22753,22669,22589,22523,22450,22374,22284,22213,22129,22048,21967,21838,21747,21672,21581,21449,21338,21228,21098,21007,20893,20822,20740,20620,20524,20397,20263,20169,20046,19974,19884,19786,19734,19626,
Large hydro,1476,1422,1381,1378,1366,1362,1379,1381,1372,1370,1369,1366,1370,1441,1484,1512,1511,1497,1490,1493,1486,1467,1454,1449,1420,1345,1305,1296,1296,1308,1315,1316,1319,1334,1343,1351,1362,1403,1412,1404,1396,1394,1402,1419,1428,1459,1466,1460,1443,1425,1450,1455,1438,1440,1440,1440,1439,1436,1438,1444,1439,1473,1520,1522,1553,1563,1562,1538,1537,1555,1572,1572,1544,1585,1629,1663,1621,1537,1530,1534,1540,1537,1524,1520,1507,1491,1472,1461,1452,1351,1312,1298,1295,1249,1253,1257,1248,1181,1136,1124,1088,1075,1067,1085,1104,1123,1139,1126,1045,901,852,892,908,914,928,955,942,933,948,949,950,957,945,882,803,814,842,831,826,874,931,972,967,960,906,879,895,891,850,852,843,859,881,850,816,845,859,884,879,834,831,875,883,885,902,919,924,972,998,786,728,711,685,702,722,767,748,725,718,705,646,662,629,667,679,600,556,564,922,975,1000,1005,1118,1192,1207,1217,1241,1449,1543,1562,1586,1595,1635,1889,2052,2066,2064,1988,1950,1948,1947,2010,2145,2124,2163,2372,2426,2439,2447,2454,2463,2462,2459,2459,2452,2440,2444,2494,2629,2664,2672,2674,2682,2680,2680,2657,2664,2656,2623,2440,2322,2313,2305,2318,2297,2316,2387,2388,2390,2392,2380,2171,1977,1909,1896,1898,1899,1897,1752,1578,1562,1547,1516,1494,1474,1459,1448,1409,1408,1406,1401,1401,1399,1402,1360,1232,1191,1187,1184,1196,1189,1188,1179,1179,1182,1167,1120,1082,1109,1119,1119,1121,1110,1103,1101,1116,1156,1153,
Imports,7719,7747,7863,7930,7970,7918,7799,7750,7773,7749,7752,7761,7684,7597,7475,7524,7517,7577,7564,7477,7474,7485,7529,7443,7384,7362,7381,7366,7386,7257,7207,7196,7251,7261,7229,7250,7307,7319,7333,7353,7347,7377,7353,7350,7431,7422,7425,7526,7537,7585,7575,7584,7525,7479,7431,7448,7455,7410,7427,7435,7479,7571,7665,7740,7764,7791,7837,7866,7910,7901,7973,8030,8158,8258,8324,8363,8419,8492,8486,8491,8513,8550,8527,8549,8478,8377,8308,8220,8210,8177,8103,7990,7844,7648,7416,7299,7089,7146,7139,7008,6890,6720,6420,6197,5987,5740,5596,5354,5203,5265,5194,5055,5022,4854,4726,4507,4414,4275,4128,3988,3957,3972,3897,3946,3917,3865,3867,3696,3635,3443,3154,3069,3047,3055,3013,2983,2914,2855,2887,2850,2847,2870,2830,2709,2703,2790,2746,2764,2697,2722,2747,2746,2701,2682,2755,2683,2523,2585,2572,2621,2714,2799,2909,2836,2876,2995,3010,3153,3144,3170,3248,3218,3254,3392,3406,3545,3740,3804,3612,3621,3795,3810,3877,4225,4148,4606,4877,4884,5152,5455,5691,6107,6460,6571,6837,7233,7382,7506,7658,7681,7820,7876,7823,8053,8337,8306,8541,8709,8783,8807,8897,8888,8897,8902,8978,9056,9098,9285,9242,9232,9228,9247,9175,9248,9271,9267,9271,9278,9277,9499,9589,9639,9588,9573,9509,9394,9318,9270,9244,9223,9234,9392,9496,9527,9545,9497,9411,9366,9389,9540,9558,9536,9524,9504,9413,9337,9297,9333,9343,9258,9217,9214,9262,9213,9129,9040,8850,8717,8617,8528,8484,8476,8379,8349,8326,8288,8202,8172,8184,8073,8030,7945,7885,7862,7870,7890,7795,7698,
netd,11336,11270,11175,11072,10890,10844,10839,10759,10686,10623,10520,10489,10464,10426,10426,10300,10203,10077,10064,10063,10038,9967,9914,9971,9981,10002,9983,9975,9941,10031,10019,10001,9895,9847,9806,9773,9702,9614,9589,9563,9548,9486,9476,9451,9361,9309,9293,9184,9199,9186,9214,9218,9346,9386,9452,9438,9472,9559,9560,9616,9633,9558,9568,9586,9597,9632,9656,9711,9766,9819,9805,9795,9788,9816,9938,9971,10016,10082,10200,10257,10335,10330,10407,10423,10529,10640,10685,10701,10577,10584,10460,10346,10200,10155,10009,9786,9745,9552,9346,9125,8886,8608,8511,8260,8179,8130,8065,7982,7786,7577,7551,7549,7443,7307,7292,7248,7202,7175,7172,7225,7271,7253,7244,7097,7107,7134,7080,7031,6968,7113,7244,7224,7187,7123,7148,7131,7227,7080,7100,7106,7109,7141,7168,7084,7080,7118,7151,7126,7066,7021,7039,7064,7073,7050,7033,7091,7136,7138,7256,7240,7263,7117,7169,7123,7108,7191,7095,7110,7119,7051,7085,7211,7249,7309,7349,7322,7443,7529,7599,7713,7873,7929,7909,8034,8249,8206,8354,8449,8439,8643,8948,9042,9191,9337,9349,9515,9894,10286,10563,11002,11207,11410,11574,11661,11664,11737,11711,11782,11946,12257,12422,12683,12852,12934,12942,12894,12908,12643,12558,12518,12482,12436,12464,12369,12372,12358,12323,12275,12288,12240,12191,12089,12127,12071,12083,12116,12076,12051,12018,11978,11953,11941,11992,11957,11905,11946,11981,12011,12071,12003,11939,11916,11871,11857,11866,11873,11844,11781,11699,11710,11666,11598,11468,11433,11478,11566,11706,11768,11780,11725,11665,11564,11540,11479,11385,11367,11418,11366,11231,11205,11114,11103,11051,11009,10913,10780,10783,10775,
td-im,13332,13253,13114,12963,12819,12743,12748,12701,12603,12544,12470,12408,12383,12424,12452,12358,12233,12139,12105,12118,12082,12017,11951,11967,11938,11927,11879,11859,11827,11887,11898,11856,11785,11730,11726,11696,11632,11588,11561,11534,11498,11451,11453,11448,11360,11337,11341,11234,11255,11258,11290,11318,11384,11427,11483,11498,11540,11608,11641,11671,11674,11658,11677,11674,11708,11727,11748,11756,11799,11857,11871,11876,11845,11936,12041,12099,12100,12108,12182,12270,12333,12340,12383,12424,12541,12702,12797,12885,12928,12976,13057,13207,13350,13536,13667,13801,14035,14030,14046,14239,14315,14469,14711,14897,15015,15203,15288,15459,15597,15504,15582,15689,15677,15803,15853,16033,16083,16171,16276,16384,16346,16282,16337,16317,16294,16281,16206,16328,16354,16445,16673,16703,16660,16636,16577,16571,16572,16768,16702,16696,16689,16587,16602,16720,16676,16541,16540,16482,16569,16548,16514,16529,16556,16592,16540,16589,16765,16701,16695,16634,16561,16564,16475,16568,16574,16459,16493,16362,16363,16361,16325,16411,16434,16318,16303,16281,16185,16148,16383,16426,16318,16374,16360,16041,16202,15882,15713,15835,15688,15489,15341,15039,14865,14819,14669,14405,14426,14458,14452,14564,14554,14635,14783,14754,14715,14884,14868,14904,15117,15200,15413,15637,15779,15841,15837,15788,15789,15571,15613,15627,15593,15588,15613,15567,15554,15510,15466,15447,15424,15160,14987,14927,14917,14890,14894,14967,15013,14998,14968,14935,14887,14686,14498,14447,14376,14385,14432,14460,14354,14130,14046,14010,13950,13881,13852,13852,13818,13716,13628,13615,13571,13507,13364,13330,13323,13293,13401,13446,13449,13417,13338,13241,13203,13151,13041,12992,12969,12876,12757,12752,12682,12673,12611,12554,12451,12334,12340,12345,
netd+im,19055,19017,19038,19002,18860,18762,18638,18509,18459,18372,18272,18250,18148,18023,17901,17824,17720,17654,17628,17540,17512,17452,17443,17414,17365,17364,17364,17341,17327,17288,17226,17197,17146,17108,17035,17023,17009,16933,16922,16916,16895,16863,16829,16801,16792,16731,16718,16710,16736,16771,16789,16802,16871,16865,16883,16886,16927,16969,16987,17051,17112,17129,17233,17326,17361,17423,17493,17577,17676,17720,17778,17825,17946,18074,18262,18334,18435,18574,18686,18748,18848,18880,18934,18972,19007,19017,18993,18921,18787,18761,18563,18336,18044,17803,17425,17085,16834,16698,16485,16133,15776,15328,14931,14457,14166,13870,13661,13336,12989,12842,12745,12604,12465,12161,12018,11755,11616,11450,11300,11213,11228,11225,11141,11043,11024,10999,10947,10727,10603,10556,10398,10293,10234,10178,10161,10114,10141,9935,9987,9956,9956,10011,9998,9793,9783,9908,9897,9890,9763,9743,9786,9810,9774,9732,9788,9774,9659,9723,9828,9861,9977,9916,10078,9959,9984,10186,10105,10263,10263,10221,10333,10429,10503,10701,10755,10867,11183,11333,11211,11334,11668,11739,11786,12259,12397,12812,13231,13333,13591,14098,14639,15149,15651,15908,16186,16748,17276,17792,18221,18683,19027,19286,19397,19714,20001,20043,20252,20491,20729,21064,21319,21571,21749,21836,21920,21950,22006,21928,21800,21750,21710,21683,21639,21617,21643,21625,21594,21553,21565,21739,21780,21728,21715,21644,21592,21510,21394,21321,21262,21201,21187,21333,21488,21484,21450,21443,21392,21377,21460,21543,21497,21452,21395,21361,21279,21210,21141,21114,21042,20968,20883,20812,20730,20646,20607,20606,20556,20485,20397,20253,20149,20040,19919,19828,19711,19655,19620,19538,19415,19278,19144,19048,18936,18871,18783,18670,18578,18473,
