time,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Hour-ahead forecast,29419,29008,29008,29008,28477,28477,28477,27987,27987,27987,27519,27519,27519,27098,27098,27098,26706,26706,26706,26389,26389,26389,26046,26046,26046,25772,25772,25772,25509,25509,25509,25288,25288,25288,25036,25036,25036,24869,24869,24869,24745,24745,24745,24593,24593,24593,24548,24548,24548,24629,24629,24629,24721,24721,24721,24809,24809,24809,24909,24909,24909,25277,25277,25277,25583,25583,25583,25793,25793,25793,25945,25945,25945,26613,26613,26613,27044,27044,27044,27272,27272,27272,27616,27616,27616,27990,27990,27990,28375,28375,28375,28579,28579,28579,28952,28952,28952,29289,29289,29289,29503,29503,29503,29679,29679,29679,29901,29901,29901,30187,30187,30187,30403,30403,30403,30622,30622,30622,30968,30968,30968,31422,31422,31422,31815,31815,31815,31970,31970,31970,32202,32202,32202,32566,32566,32566,32846,32846,32846,33051,33051,33051,33370,33370,33370,33686,33686,33686,33976,33976,33976,34468,34468,34468,34879,34879,34879,35281,35281,35281,35534,35534,35534,35944,35944,35944,36290,36290,36290,36622,36622,36622,36946,36946,36946,37273,37273,37273,37607,37607,37607,37944,37944,37944,38210,38210,38210,38534,38534,38534,38891,38891,38891,38963,38963,38963,39214,39214,39214,39382,39382,39382,39463,39463,39463,39272,39272,39272,39350,39350,39350,39376,39376,39376,39397,39397,39397,39186,39186,39186,39020,39020,39020,39004,39004,39004,38653,38653,38653,38264,38264,38264,37875,37875,37875,37618,37618,37618,37078,37078,37078,36895,36895,36895,36742,36742,36742,36434,36434,36434,36012,36012,36012,35339,35339,35339,34671,34671,34671,34037,34037,34037,33265,33265,33265,32273,32273,32273,31503,31503,31503,30801,30801,30801,30044,30044,30044,29205,29205,29205,28585,28585,28585,27890,27890,27890,27226,27226
Demand,29346,29147,29056,28878,28687,28531,28325,28171,28029,27856,27681,27504,27365,27214,27096,26954,26814,26695,26611,26531,26413,26298,26198,26045,25926,25818,25764,25658,25533,25413,25349,25238,25140,25104,25040,24943,24872,24844,24799,24772,24712,24672,24642,24607,24556,24518,24481,24468,24474,24511,24575,24590,24610,24612,24623,24662,24671,24692,24743,24790,24894,25112,25337,25514,25646,25702,25678,25804,25891,25865,25907,25923,26001,26221,26433,26608,26782,26878,26837,27013,27124,27180,27306,27405,27534,27702,27940,28088,28198,28332,28477,28520,28579,28636,28700,28805,28886,29015,29172,29281,29342,29401,29468,29539,29635,29688,29778,29792,29857,29876,30052,30154,30257,30237,30369,30484,30612,30723,30846,30971,31176,31136,31221,31328,31369,31473,31535,31707,31830,31955,32048,32196,32212,32317,32430,32576,32664,32742,32889,33064,33157,33176,33295,33352,33434,33506,33653,33767,33837,33990,34075,34259,34419,34539,34565,34670,34857,35034,35163,35239,35421,35572,35697,35833,35940,36035,36140,36309,36416,36499,36594,36722,36836,36971,37044,37146,37277,37453,37540,37651,37726,37788,37879,38069,38159,38267,38364,38450,38529,38629,38725,38806,38913,38936,38972,39092,39164,39192,39226,39285,39293,39334,39448,39492,39412,39348,39388,39390,39399,39438,39501,39526,39517,39530,39449,39480,39455,39326,39123,39073,39036,39029,38973,38939,38889,38805,38729,38638,38536,38418,38266,38059,37929,37792,37638,37539,37459,37313,37118,37049,36909,36771,36687,36576,36528,36476,36384,36270,36144,36019,35887,35784,35589,35382,35215,35089,34897,34679,34436,34234,33971,33776,33555,33277,32986,32632,32351,32092,31871,31626,31344,31062,30782,30538,30258,29987,29704,29446,29313,29034,28784,28578,28374,28118,27872,27698,27471,27227
Day-ahead net forecast,27575,27325,27284,27130,27006,26785,26660,26438,26301,26176,26028,25885,25770,25656,25566,25432,25297,25170,25049,24964,24846,24731,24620,24480,24293,24106,23933,23876,23769,23766,23732,23694,23607,23517,23476,23381,23284,23221,23178,23163,23137,23106,23008,22960,22914,22865,22836,22838,22884,22985,23076,23171,23231,23258,23286,23321,23400,23427,23487,23540,23612,23752,23976,24162,24308,24391,24428,24536,24687,24708,24796,24805,24854,24886,25036,25056,24961,24833,24639,24447,24342,24101,23823,23587,23310,23145,23133,23109,22793,22324,22061,21744,21357,21030,20721,20598,20489,20411,20329,20330,20186,20110,19956,19864,19846,19804,19775,19757,19704,19636,19767,19778,19743,19670,19778,19877,19971,20103,20171,20245,20367,20466,20345,20339,20358,20429,20465,20586,20674,20767,20738,20920,21003,21084,21167,21320,21357,21342,21391,21553,21648,21609,21705,21780,21841,21861,21996,22103,22196,22256,22339,22403,22569,22635,22724,22805,22865,23038,23130,23212,23337,23517,23609,23728,23871,23934,24040,24199,24319,24339,24390,24526,24655,24756,24784,24926,25020,25220,25374,25566,25671,25779,25815,26023,26154,26344,26475,26685,26825,26883,27072,27248,27262,27399,27464,27641,27747,27824,27850,28012,28182,28231,28344,28508,28619,28605,28767,28896,28980,29163,29314,29506,29669,29883,29977,30151,30383,30593,30718,30813,30997,31352,31729,32064,32411,32801,33083,33253,33420,33605,33758,33837,33909,34021,34160,34216,34283,34261,34133,34088,34027,33940,33849,33716,33617,33523,33397,33233,33071,32914,32745,32610,32398,32186,31915,31799,31610,31359,31080,30880,30597,30372,30082,29830,29477,29121,28799,28547,28303,28059,27824,27545,27279,27016,26767,26457,26168,25864,25682,25476,25212,24977,24828,24633,24348,24174,23985,23744
Large hydro,4598,4524,4424,4401,4438,4442,4436,4384,4371,4416,4514,4532,4532,4409,4358,4355,4345,4339,4327,4320,4321,4318,4324,4309,4277,4185,4132,4192,4287,4291,4253,4237,4222,4193,4174,4179,4149,4154,4216,4223,4228,4230,4205,4205,4219,4228,4233,4236,4252,4273,4336,4350,4343,4346,4344,4361,4369,4364,4368,4361,4348,4394,4506,4566,4590,4595,4593,4593,4596,4591,4592,4572,4484,4457,4414,4407,4397,4397,4398,4405,4415,4410,4392,4372,4347,4306,4241,4254,4216,4153,4099,4094,4120,4104,4154,4185,4112,4105,4062,4051,4030,4031,4041,4056,4066,4078,4074,4060,4026,4045,4078,4081,4076,3818,3786,3656,3614,3625,3633,3629,3629,3612,3483,3378,3459,3527,3551,3480,3486,3539,3521,3528,3515,3666,3749,3765,4108,4098,4075,4057,4063,4088,4093,4069,4055,4110,4172,4203,4215,4235,4267,4211,4193,4205,4212,4182,4185,4296,4353,4370,4361,4363,4369,4373,4372,4378,4384,4385,4381,4393,4438,4424,4442,4451,4460,4465,4487,4505,4489,4481,4498,4639,4766,4816,4853,4876,4879,4887,4878,4868,4867,4871,4913,5074,5109,5108,5111,5116,5116,5104,5109,5105,5086,5068,5150,5191,5271,5251,5112,5071,5054,5113,5199,5224,5223,5241,5177,5009,4960,4965,4982,5007,5007,5003,5098,5260,5914,5949,5953,5814,5285,4999,4938,5009,5055,5130,5183,5171,4968,4924,4925,5004,5142,5157,5159,5098,5089,5099,5101,5112,5107,5063,5040,5059,5063,5032,4987,4974,4977,4997,5021,5018,5008,5001,5006,4994,4943,4923,4907,4905,4915,4909,4919,4924,4930,4924,4800,4676,4682,4560,4559,4525,4431,4417,4416,4418,4426,4424
Imports,7499,7614,7909,7859,7830,7771,7747,7773,7701,7579,7540,7467,7407,7689,7805,7763,7614,7584,7591,7665,7650,7622,7509,7395,7340,7375,7378,7554,7511,7545,7621,7552,7444,7443,7393,7390,7418,7475,7580,7633,7626,7626,7612,7567,7518,7520,7492,7508,7548,7602,7584,7554,7593,7592,7563,7507,7459,7500,7515,7528,7520,7513,7611,7635,7626,7694,7699,7795,7823,7780,7832,7866,8009,8114,8217,8198,8213,8156,8029,7963,7920,7782,7742,7571,7289,7263,7180,7044,6851,6568,6380,6233,6145,6069,5864,5757,5702,5707,5582,5496,5467,5475,5359,5246,5262,5221,5215,5092,5022,4950,5051,5066,5011,5121,5128,5273,5234,5259,5214,5107,4954,5010,5181,5159,5067,5072,4996,4877,4853,4900,4819,4928,4883,4807,4698,4849,4566,4420,4366,4431,4384,4240,4306,4278,4010,3788,3696,3678,3640,3729,3571,3498,3499,3446,3213,3252,3178,3083,3001,2891,2808,2823,2720,2744,2720,2694,2715,2686,2583,2669,2594,2573,2695,2769,2789,2724,2636,2557,2496,2551,2554,2572,2600,2602,2603,2643,2745,2833,2687,2599,2648,2692,2782,3033,3108,3233,3267,3132,3056,3164,3226,3226,3255,3276,3311,3385,3535,3660,3640,3694,3800,3802,3865,3934,3977,4148,4360,4622,4790,4938,4828,4910,5144,5287,5331,5173,5037,5259,5377,5696,6041,6264,6376,6415,6457,6521,6560,6598,6711,6759,6784,6898,7085,7088,7240,7208,7219,7171,7223,7259,7296,7179,6732,6455,6207,6093,6047,5959,5915,6071,6071,6082,6061,6019,5902,6185,6279,6176,6243,6346,6363,6473,6588,6651,6660,6603,6584,6611,6506,6504,6445,6370,6479,6444,6431,6469,6459,6487
netd,15478,15187,14951,14870,14738,14572,14477,14281,14229,14181,13974,13886,13831,13558,13403,13314,13338,13247,13131,12979,12875,12791,12787,12776,12676,12546,12423,12130,11971,11930,11858,11905,11941,11881,11909,11812,11717,11592,11382,11307,11283,11250,11191,11188,11177,11117,11111,11094,11084,11110,11156,11267,11295,11320,11379,11453,11572,11563,11604,11651,11744,11845,11859,11961,12092,12102,12136,12148,12268,12337,12372,12367,12361,12315,12405,12451,12351,12280,12212,12079,12007,11909,11689,11644,11674,11576,11712,11811,11726,11603,11582,11417,11092,10857,10703,10656,10675,10599,10685,10783,10689,10604,10556,10562,10518,10505,10486,10605,10656,10641,10638,10631,10656,10731,10864,10948,11123,11219,11324,11509,11784,11844,11681,11802,11832,11830,11918,12229,12335,12328,12398,12464,12605,12611,12720,12706,12683,12824,12950,13065,13201,13281,13306,13433,13776,13963,14128,14222,14341,14292,14501,14694,14877,14984,15299,15371,15502,15659,15776,15951,16168,16331,16520,16611,16779,16862,16941,17128,17355,17277,17358,17529,17518,17536,17535,17737,17897,18158,18389,18534,18619,18568,18449,18605,18698,18825,18851,18965,19260,19416,19557,19685,19567,19292,19247,19300,19369,19576,19678,19744,19847,19900,20003,20164,20158,20029,19961,19985,20228,20398,20460,20591,20605,20725,20777,20762,20846,20962,20968,20910,21187,21435,21578,21774,21982,22368,22132,22045,22090,22095,22432,22574,22595,22597,22648,22565,22540,22492,22454,22405,22318,22038,21622,21471,21218,21217,21089,20963,20747,20543,20342,20368,20626,20672,20645,20674,20576,20426,20188,19812,19505,19272,19013,18810,18569,17942,17577,17448,17153,16808,16546,16163,15772,15441,15177,14930,14784,14577,14494,14412,14208,14082,13918,13772,13501,13287,13100,12833
td-im,21847,21533,21147,21019,20857,20760,20578,20398,20328,20277,20141,20037,19958,19525,19291,19191,19200,19111,19020,18866,18763,18676,18689,18650,18586,18443,18386,18104,18022,17868,17728,17686,17696,17661,17647,17553,17454,17369,17219,17139,17086,17046,17030,17040,17038,16998,16989,16960,16926,16909,16991,17036,17017,17020,17060,17155,17212,17192,17228,17262,17374,17599,17726,17879,18020,18008,17979,18009,18068,18085,18075,18057,17992,18107,18216,18410,18569,18722,18808,19050,19204,19398,19564,19834,20245,20439,20760,21044,21347,21764,22097,22287,22434,22567,22836,23048,23184,23308,23590,23785,23875,23926,24109,24293,24373,24467,24563,24700,24835,24926,25001,25088,25246,25116,25241,25211,25378,25464,25632,25864,26222,26126,26040,26169,26302,26401,26539,26830,26977,27055,27229,27268,27329,27510,27732,27727,28098,28322,28523,28633,28773,28936,28989,29074,29424,29718,29957,30089,30197,30261,30504,30761,30920,31093,31352,31418,31679,31951,32162,32348,32613,32749,32977,33089,33220,33341,33425,33623,33833,33830,34000,34149,34141,34202,34255,34422,34641,34896,35044,35100,35172,35216,35279,35467,35556,35624,35619,35617,35842,36030,36077,36114,36131,35903,35864,35859,35897,36060,36170,36121,36067,36108,36193,36216,36101,35963,35853,35730,35759,35744,35701,35724,35652,35596,35472,35332,35095,34704,34333,34135,34208,34119,33829,33652,33558,33632,33692,33379,33159,32722,32225,31795,31553,31377,31181,31018,30899,30715,30407,30290,30125,29873,29602,29488,29288,29268,29165,29099,28921,28760,28591,28605,28857,28927,29008,28996,28850,28720,28521,28163,27900,27694,27494,27258,27084,26447,26072,25916,25628,25280,24981,24589,24194,23887,23598,23384,23120,22835,22807,22530,22339,22208,21895,21674,21441,21229,21012,20740
netd+im,22977,22801,22860,22729,22568,22343,22224,22054,21930,21760,21514,21353,21238,21247,21208,21077,20952,20831,20722,20644,20525,20413,20296,20171,20016,19921,19801,19684,19482,19475,19479,19457,19385,19324,19302,19202,19135,19067,18962,18940,18909,18876,18803,18755,18695,18637,18603,18602,18632,18712,18740,18821,18888,18912,18942,18960,19031,19063,19119,19179,19264,19358,19470,19596,19718,19796,19835,19943,20091,20117,20204,20233,20370,20429,20622,20649,20564,20436,20241,20042,19927,19691,19431,19215,18963,18839,18892,18855,18577,18171,17962,17650,17237,16926,16567,16413,16377,16306,16267,16279,16156,16079,15915,15808,15780,15726,15701,15697,15678,15591,15689,15697,15667,15852,15992,16221,16357,16478,16538,16616,16738,16854,16862,16961,16899,16902,16914,17106,17188,17228,17217,17392,17488,17418,17418,17555,17249,17244,17316,17496,17585,17521,17612,17711,17786,17751,17824,17900,17981,18021,18072,18192,18376,18430,18512,18623,18680,18742,18777,18842,18976,19154,19240,19355,19499,19556,19656,19814,19938,19946,19952,20102,20213,20305,20324,20461,20533,20715,20885,21085,21173,21140,21049,21207,21301,21468,21596,21798,21947,22015,22205,22377,22349,22325,22355,22533,22636,22708,22734,22908,23073,23126,23258,23440,23469,23414,23496,23645,23868,24092,24260,24393,24470,24659,24754,24910,25206,25584,25758,25848,26015,26345,26722,27061,27313,27541,27169,27304,27467,27791,28473,28838,28971,29012,29105,29086,29100,29090,29165,29164,29102,28936,28707,28559,28458,28425,28308,28134,27970,27802,27638,27547,27358,27127,26852,26767,26623,26385,26103,25883,25576,25354,25074,24829,24471,24127,23856,23624,23396,23154,22909,22636,22360,22092,21837,21533,21368,21188,21000,20916,20653,20452,20397,20216,19932,19756,19559,19320
