Supply 06/28/2019 Effective Dec. 13,2023, the methodology for tracking natural gas data was updated. Data posted prior to that is not comparable.,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,5393,5343,5359,5411,5447,5470,5501,5516,5553,5601,5627,5641,5659,5672,5690,5682,5682,5654,5612,5574,5570,5542,5531,5520,5471,5422,5422,5449,5447,5418,5356,5303,5286,5285,5273,5226,5111,4976,4871,4836,4818,4832,4811,4783,4743,4707,4618,4520,4517,4528,4560,4548,4525,4475,4423,4336,4213,4079,3982,3917,3937,4010,4113,4175,4203,4243,4238,4183,4121,4068,4027,4027,4100,4220,4393,4624,4859,5081,5334,5618,5891,6202,6540,6917,7294,7663,8041,8465,8808,9199,9614,9983,10426,10743,11144,11354,11508,11635,11775,12000,12162,12303,12440,12534,12633,12709,12768,12819,12871,12903,12962,12995,13052,13066,13117,13113,13170,13219,13273,13300,13321,13319,13326,13368,13383,13419,13421,13424,13467,13472,13515,13537,13551,13555,13577,13602,13599,13639,13644,13624,13614,13635,13626,13579,13612,13587,13591,13601,13650,13651,13682,13696,13723,13737,13766,13814,13757,13831,13827,13786,13807,13885,13958,13963,13996,13941,13805,13783,13669,13730,13635,13724,13681,13722,13669,13476,13648,13752,13707,13418,13338,13273,13307,13247,13173,12951,12746,13047,13091,13155,13193,13490,13522,13573,13514,13541,13472,13441,13305,13062,13002,12833,12968,12947,12770,12532,12291,12300,12288,12050,11707,11597,11573,11688,11577,11177,10939,10855,10767,10626,10412,10106,9899,9622,9431,9054,8642,8489,8172,7756,7386,7085,6834,6596,6358,6151,5966,5878,5742,5649,5580,5532,5482,5451,5473,5461,5447,5379,5305,5201,5089,5010,4950,4929,4930,4928,4904,4902,4889,4829,4823,4810,4814,4830,4859,4891,4945,5005,5027,5059,5093,5123,5156,5195,5235,5255,5317,5367,5384,5386,5421,5468,5497,5521,5519,5480,5418,5384,,
Natural gas,3676,3721,3614,3461,3247,3211,3063,3076,3002,2981,2977,2971,2928,2882,2854,2850,2765,2690,2675,2672,2687,2699,2709,2704,2712,2749,2763,2808,2839,2817,2835,2834,2844,2845,2887,2931,2936,2973,2926,2980,2973,3025,3069,3095,3112,3139,3161,3179,3215,3257,3194,3252,3251,3266,3275,3304,3343,3351,3327,3349,3352,3380,3316,3297,3217,3151,3175,3192,3197,3163,3195,3211,3277,3353,3330,3333,3341,3391,3392,3437,3442,3415,3368,3372,3345,3379,3345,3335,3294,3084,2890,2626,2398,2332,2355,2282,2190,2253,2343,2352,2387,2464,2607,2665,2789,2883,2909,2908,2916,2919,2908,3014,2987,2965,3009,3013,3013,2991,3056,3054,3072,3069,3093,3070,3083,3104,3138,3207,3270,3303,3341,3328,3331,3299,3204,3265,3311,3304,3345,3358,3354,3314,3317,3347,3359,3380,3334,3313,3338,3372,3409,3421,3434,3440,3394,3421,3560,3475,3470,3398,3421,3500,3477,3555,3546,3638,3705,3727,3841,3857,3864,3815,3908,3913,3945,4058,4106,4190,4377,4449,4494,4689,4788,4860,4607,4484,4489,4582,4778,4907,4974,4999,5007,4843,4708,4640,4640,4575,4636,4682,4666,4782,4872,4956,4945,4832,4760,4734,4907,5094,5143,5340,5574,5641,5839,5863,5884,5704,5406,5362,5333,5363,5454,5655,5840,6114,6306,6357,6407,6423,6341,6385,6610,6824,6876,7102,7215,7222,7177,7198,7190,7167,7180,7233,7212,7233,7240,7275,7312,7327,7219,7190,7272,6869,6791,6770,6734,6651,6579,6567,6511,6529,6492,6532,6505,6550,6597,6569,6525,6436,6361,6200,5956,5925,5788,5496,5296,5110,5103,5074,4904,4721,4597,4544,4466,4418,4368,4357,,
Large hydro,4323,4299,4296,4269,4253,4248,4242,4262,4236,4230,4225,4271,4282,4282,4290,4298,4264,4272,4292,4230,4217,4199,4210,4201,4138,4112,4041,4027,4016,3981,3989,3978,3975,3950,3947,3945,3954,4000,3996,3996,3972,3961,3951,3952,3945,3949,3943,3952,3976,4087,4062,4104,4105,4109,4128,4135,4149,4159,4149,4146,4127,4154,4190,4162,4196,4207,4209,4225,4221,4218,4221,4216,4206,4270,4290,4258,4212,4206,4175,4120,4084,4076,4131,4099,4029,3969,3955,3956,3958,3956,3951,3966,3976,3918,3859,3814,3683,3554,3529,3483,3470,3414,3298,3298,3136,3132,3116,3111,3095,2980,2893,2835,2934,2960,2966,2970,2992,2971,2974,2978,3015,3015,3027,3022,3000,3003,3026,3020,3009,3012,3012,3031,3034,3000,2980,3003,3053,3041,3031,3037,3025,3018,3029,3037,3033,3021,3019,3010,3010,3010,3003,3008,2984,2978,2948,2984,2957,2903,2872,2942,2940,2961,2943,2944,2949,2958,2987,3046,3064,3047,3099,3087,3084,3048,3037,3073,3051,3064,3055,3127,3147,3115,3142,3225,3482,3587,3663,3588,3499,3526,3583,3518,3537,3660,3717,3750,3799,3798,3789,3798,3807,3858,3863,3861,3997,4174,4357,4371,4339,4435,4476,4458,4421,4310,4300,4462,4592,4667,4755,4913,4979,4992,5006,4990,4974,4961,5026,5075,5098,5072,5142,5206,5193,5212,5226,5167,5172,5192,5192,5145,5113,5141,5122,5130,5123,5125,5123,5125,5132,5124,5095,5135,5213,5183,5180,5138,5105,5096,5082,5091,5076,5083,5041,5035,4980,4936,4910,4879,4805,4777,4755,4736,4772,4741,4688,4732,4781,4636,4615,4540,4494,4485,4471,4435,4427,4425,4429,4447,,
Imports,8413,8321,8306,8381,8479,8396,8389,8225,8133,8080,7915,7751,7667,7590,7516,7430,7483,7472,7382,7363,7307,7235,7168,7147,7167,7184,7178,7140,7091,7110,7114,7090,7060,7028,6966,6931,6985,7029,7116,7098,7121,7098,7117,7083,7105,7123,7126,7153,7141,7076,7145,7106,7128,7176,7214,7346,7472,7588,7751,7910,8012,8064,8181,8299,8359,8434,8429,8540,8629,8689,8731,8779,8728,8724,8721,8648,8497,8337,8232,8083,7961,7755,7412,7172,6930,6739,6482,6151,5903,5737,5531,5409,5279,5176,4893,4755,4725,4801,4723,4550,4405,4277,4170,4084,4094,3986,3950,3842,3775,3861,3921,3896,3753,3649,3521,3501,3391,3382,3289,3239,3205,3268,3268,3281,3206,3171,3193,3226,3153,3147,3088,3085,3080,3183,3272,3247,3209,3199,3232,3257,3333,3337,3359,3356,3302,3349,3440,3472,3526,3522,3523,3560,3581,3664,3715,3678,3737,3783,3913,3924,3888,3826,3750,3784,3753,3831,3975,3929,3998,4077,4177,4143,4222,4311,4334,4549,4521,4463,4393,4572,4576,4538,4557,4562,4407,4604,4709,4608,4628,4526,4415,4307,4346,4402,4598,4608,4747,4818,4944,5215,5360,5481,5427,5431,5566,5692,5803,5886,5945,5948,6187,6164,6190,6198,6250,6432,6558,6703,6982,7073,7182,7432,7557,7654,7715,7900,8039,8130,8357,8606,8953,9104,9098,9116,9204,9163,9223,9245,9418,9410,9476,9504,9540,9547,9607,9634,9668,9722,9742,9868,10082,10119,10037,10342,10382,10348,10372,10382,10351,10349,10269,10122,10036,9822,9683,9486,9343,9128,9029,8961,8876,8869,8810,8723,8712,8739,8548,8611,8486,8384,8392,8400,8362,8256,8168,8090,8033,7896,,
Batteries,30,0,-16,-29,-42,-40,-42,-11,-12,-22,-1,-8,-1,-1,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,48,50,14,2,0,3,41,48,51,27,0,0,0,0,0,0,0,-2,-21,-8,-1,0,0,0,0,19,45,18,1,-6,-19,-22,-35,0,0,0,14,57,62,10,4,-9,-8,-8,-14,-16,-20,-49,-66,-69,-54,-40,-63,-46,-25,0,0,0,27,54,86,11,-42,-50,-35,0,0,0,0,0,-42,-84,-61,-5,-15,-20,-27,-34,-58,-60,-42,-4,0,0,4,29,0,0,0,0,9,18,23,55,41,0,0,0,0,0,0,-15,17,5,0,0,-18,-21,-6,0,0,0,2,-1,-4,-1,-1,0,-7,-22,-23,-45,-33,-1,-31,-41,-43,-24,-3,-17,6,-12,-3,-1,-1,45,72,52,21,67,60,57,4,-2,49,2,-2,3,28,38,-34,-75,-48,-11,54,98,-23,-75,-59,-53,-89,-87,-87,-48,-42,-8,1,14,87,91,48,7,1,-13,44,53,-6,-53,-9,22,-5,-24,-81,-68,-8,-17,-58,-70,-40,-1,9,13,12,5,-9,14,17,15,43,76,63,39,39,45,36,36,36,23,35,34,25,23,23,23,23,23,23,23,27,59,46,56,43,40,26,14,4,3,-8,-20,0,3,9,1,-4,11,0,0,-3,-27,-18,-3,-63,-96,-13,3,30,30,21,11,13,10,5,0,0,1,35,,
Nuclear,2272,2273,2272,2272,2273,2272,2273,2273,2273,2273,2273,2273,2272,2273,2273,2272,2272,2273,2272,2272,2273,2273,2272,2271,2271,2271,2270,2270,2270,2271,2271,2270,2270,2271,2269,2272,2271,2271,2272,2271,2271,2271,2270,2271,2272,2272,2271,2272,2272,2272,2270,2271,2272,2273,2272,2273,2272,2273,2273,2274,2273,2273,2273,2272,2273,2273,2273,2272,2273,2272,2273,2273,2273,2273,2272,2273,2273,2274,2274,2274,2273,2274,2273,2273,2274,2273,2273,2273,2274,2272,2273,2272,2272,2273,2272,2274,2273,2274,2274,2274,2274,2274,2274,2275,2273,2273,2273,2273,2274,2273,2273,2272,2273,2273,2273,2273,2272,2273,2273,2272,2271,2271,2271,2270,2270,2271,2271,2271,2271,2270,2271,2270,2271,2270,2270,2268,2268,2269,2269,2268,2267,2267,2267,2267,2267,2268,2267,2268,2267,2267,2267,2268,2268,2267,2267,2267,2267,2267,2267,2267,2268,2266,2267,2268,2268,2269,2269,2268,2269,2268,2267,2267,2266,2267,2267,2266,2267,2267,2265,2264,2265,2264,2263,2263,2263,2263,2262,2262,2263,2263,2263,2263,2264,2264,2265,2266,2265,2266,2266,2266,2266,2267,2266,2266,2267,2267,2268,2267,2267,2268,2268,2268,2269,2269,2270,2269,2269,2269,2268,2270,2268,2268,2268,2269,2268,2269,2269,2269,2268,2269,2269,2269,2268,2269,2269,2270,2269,2269,2269,2270,2270,2270,2270,2270,2270,2269,2270,2270,2270,2270,2269,2270,2271,2270,2270,2270,2271,2271,2271,2271,2272,2272,2271,2270,2270,2271,2270,2270,2271,2271,2271,2271,2270,2271,2271,2270,2271,2271,2270,2271,2271,2271,2271,2271,2271,2271,2272,2271,,
Coal,16,16,16,16,15,15,15,14,14,14,15,15,15,15,15,15,15,15,14,14,14,13,13,13,14,14,15,15,15,15,15,15,15,15,15,15,15,16,16,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,14,15,14,15,15,15,16,16,15,15,14,14,14,15,15,15,14,15,14,14,14,14,15,15,16,16,15,16,16,16,15,15,15,15,15,15,15,14,15,14,14,14,14,14,14,14,14,15,15,15,15,15,14,14,15,15,15,15,15,15,15,16,15,16,15,15,15,14,14,14,14,15,14,15,14,14,15,15,15,15,15,16,16,16,16,16,16,15,15,15,15,16,15,15,15,15,15,15,16,16,16,15,15,15,15,15,15,15,15,14,15,15,14,14,15,15,15,15,15,15,15,15,15,15,14,15,15,16,16,15,15,15,16,16,15,15,16,15,15,16,15,16,16,16,16,16,16,16,15,16,15,15,15,15,15,15,16,15,16,15,15,16,15,15,15,16,16,16,16,16,16,16,16,15,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,15,15,15,16,16,16,16,16,16,15,15,15,16,16,16,16,16,16,16,16,17,17,17,17,17,16,16,16,16,16,16,16,16,16,,
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,46,129,264,429,623,882,1165,1479,1816,2161,2519,2882,3255,3636,4037,4454,4887,5233,5633,6058,6419,6864,7197,7623,7881,8098,8279,8459,8670,8830,8968,9108,9239,9354,9452,9561,9663,9735,9809,9894,9978,10055,10114,10191,10221,10294,10353,10405,10451,10496,10531,10577,10645,10684,10724,10754,10787,10840,10867,10902,10932,10951,10962,10986,11019,11034,11069,11093,11099,11113,11139,11139,11101,11145,11135,11134,11141,11186,11176,11193,11179,11184,11176,11180,11177,11104,11160,11091,11030,11016,11027,11060,11013,11021,10973,10831,10788,10649,10704,10586,10633,10539,10524,10441,10225,10400,10489,10429,10115,9978,9868,9875,9739,9596,9343,9114,9360,9368,9337,9266,9520,9520,9508,9372,9334,9202,9137,8961,8667,8554,8310,8413,8342,8143,7853,7615,7582,7540,7318,6951,6797,6685,6734,6552,6124,5829,5662,5490,5269,4991,4661,4409,4144,3976,3640,3279,3143,2821,2462,2144,1849,1569,1306,1034,821,651,508,368,255,169,111,36,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Wind,3400,3351,3366,3419,3459,3482,3513,3526,3566,3614,3641,3656,3673,3682,3700,3694,3695,3672,3630,3591,3587,3556,3545,3532,3484,3434,3436,3469,3462,3437,3376,3322,3305,3303,3294,3244,3133,3000,2903,2867,2851,2862,2843,2815,2778,2745,2655,2557,2556,2568,2598,2584,2557,2502,2455,2365,2244,2107,2012,1946,1968,2041,2108,2152,2174,2214,2211,2155,2090,2038,1990,1950,1942,1928,1938,1967,1946,1884,1821,1768,1693,1648,1624,1624,1627,1621,1593,1585,1587,1580,1576,1579,1580,1567,1547,1511,1468,1454,1423,1441,1450,1453,1451,1419,1407,1384,1339,1283,1260,1222,1196,1148,1129,1083,1055,1025,1014,1001,1003,981,956,918,882,848,826,819,790,764,754,737,745,738,734,728,729,722,704,698,679,653,630,629,621,610,602,583,581,585,587,600,615,642,664,690,718,765,783,807,844,862,898,963,1004,1056,1082,1074,1078,1099,1122,1119,1124,1156,1205,1262,1290,1312,1310,1324,1340,1362,1419,1459,1487,1560,1628,1661,1690,1738,1770,1867,1974,2014,2047,2100,2165,2221,2281,2315,2356,2402,2456,2532,2557,2602,2626,2678,2672,2719,2748,2734,2758,2801,2890,2957,3025,3054,3081,3122,3200,3275,3338,3360,3404,3392,3371,3328,3276,3260,3263,3207,3153,3146,3175,3198,3232,3237,3224,3278,3284,3303,3324,3338,3362,3368,3394,3390,3379,3309,3236,3134,3025,2940,2879,2859,2860,2859,2835,2831,2817,2758,2750,2739,2741,2758,2791,2827,2881,2941,2975,3004,3037,3068,3100,3143,3181,3201,3265,3318,3362,3397,3431,3478,3509,3532,3533,3492,3433,3400,,
