Net Demand 08/19/2019undefined,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,0:00
Hour-ahead forecast,24644,24220,24220,24220,23906,23906,23906,23497,23497,23497,23106,23106,23106,22788,22788,22788,22556,22556,22556,22330,22330,22330,22101,22101,22101,21951,21951,21951,21797,21797,21797,21709,21709,21709,21612,21612,21612,21550,21550,21550,21531,21531,21531,21510,21510,21510,21514,21514,21514,21723,21723,21723,21850,21850,21850,22007,22007,22007,22237,22237,22237,22821,22821,22821,23225,23225,23225,23684,23684,23684,24119,24119,24119,24792,24792,24792,25159,25159,25159,25426,25426,25426,25728,25728,25728,26324,26324,26324,26547,26547,26547,26620,26620,26620,26589,26589,26589,26689,26689,26689,26760,26760,26760,26824,26824,26824,26881,26881,26881,27053,27053,27053,27052,27052,27052,27087,27087,27087,27093,27093,27093,27235,27235,27235,27339,27339,27339,27317,27317,27317,27530,27530,27530,27605,27605,27605,27643,27643,27643,27832,27832,27832,28049,28049,28049,28168,28168,28168,28398,28398,28398,28795,28795,28795,29213,29213,29213,29514,29514,29514,29880,29880,29880,30205,30205,30205,30637,30637,30637,31103,31103,31103,31504,31504,31504,31864,31864,31864,32391,32391,32391,32704,32704,32704,33152,33152,33152,33550,33550,33550,33932,33932,33932,34301,34301,34301,34546,34546,34546,34833,34833,34833,35173,35173,35173,35401,35401,35401,35652,35652,35652,35803,35803,35803,35873,35873,35873,35920,35920,35920,36008,36008,36008,35925,35925,35925,35753,35753,35753,35411,35411,35411,35144,35144,35144,35015,35015,35015,34947,34947,34947,35041,35041,35041,34913,34913,34913,34490,34490,34490,34036,34036,34036,33345,33345,33345,32696,32696,32696,32084,32084,32084,31456,31456,31456,30582,30582,30582,29882,29882,29882,29192,29192,29192,28402,28402,28402,27699,27699,27699,27159,27159,27159,26600,26600,26600,26013,26013,26013
Demand,24355,24212,24091,23987,23837,23706,23603,23474,23383,23261,23186,23045,22935,22845,22739,22688,22589,22526,22435,22330,22295,22234,22121,22082,22037,21992,21989,21936,21889,21841,21776,21693,21662,21625,21602,21596,21595,21564,21576,21570,21555,21525,21544,21529,21516,21481,21495,21502,21547,21617,21702,21777,21831,21867,21918,21968,22065,22107,22205,22276,22375,22564,22828,22957,23087,23253,23410,23491,23631,23732,23854,23984,24145,24490,24833,25013,25149,25225,25322,25394,25536,25585,25668,25780,25851,25988,26181,26252,26322,26374,26390,26378,26405,26446,26465,26466,26480,26623,26646,26726,26777,26797,26811,26826,26821,26884,26825,26848,26875,26950,27039,27047,27002,27014,27010,27012,27046,27055,27051,27043,27102,27111,27237,27107,27141,27147,27127,27238,27305,27303,27325,27400,27434,27470,27548,27635,27612,27672,27736,27846,27883,27924,27967,27996,28056,28079,28140,28250,28337,28502,28593,28619,28693,28806,28945,29159,29285,29348,29496,29625,29733,29823,29967,30137,30273,30418,30556,30690,30838,30948,31130,31251,31391,31557,31648,31832,31936,32087,32210,32348,32512,32603,32713,32833,32889,33068,33273,33435,33617,33674,33836,33989,34117,34152,34229,34328,34477,34607,34689,34814,34928,35024,35176,35301,35420,35396,35503,35529,35641,35716,35759,35819,35875,35924,36035,36126,36102,36016,35991,36048,36082,36058,35977,36012,35975,35891,35874,35799,35665,35489,35447,35449,35323,35278,35235,35149,35104,35111,35139,35119,35114,35107,35064,35034,34898,34754,34686,34588,34463,34273,34103,33939,33730,33498,33338,33171,32940,32791,32582,32381,32157,31968,31736,31529,31220,30861,30567,30315,30144,29877,29613,29353,29116,28892,28646,28381,28163,27832,27672,27460,27278,27056,26837,26718,26538,26308,26078,25920,
Day-ahead net forecast,21503,21325,21213,21034,20903,20737,20598,20503,20435,20340,20267,20157,20051,19936,19874,19803,19729,19678,19600,19508,19470,19453,19381,19311,19301,19231,19280,19235,19182,19168,19156,19135,19099,19115,19114,19138,19168,19162,19169,19164,19150,19114,19151,19149,19179,19160,19152,19162,19188,19235,19325,19421,19477,19557,19591,19667,19822,19945,20074,20115,20182,20330,20616,20839,20935,21099,21314,21388,21427,21548,21667,21824,22006,22288,22704,22921,23079,23147,23176,23126,23122,23036,22880,22758,22517,22306,22210,21981,21648,21364,21027,20605,20176,19874,19383,19131,18752,18334,18244,17873,17515,17268,17075,16903,16735,16625,16547,16442,16317,16271,16269,16247,16130,15988,15898,15852,15827,15798,15795,15824,15888,15836,15732,15773,15735,15714,15702,15621,15723,15717,15700,15672,15662,15640,15687,15800,15787,15848,15904,15984,16015,16031,16029,16078,16100,16114,16144,16179,16234,16373,16460,16452,16469,16531,16591,16757,16864,16941,17041,17147,17301,17354,17476,17656,17757,17889,18016,18111,18239,18343,18484,18536,18643,18842,18902,19075,19182,19288,19434,19513,19679,19827,19999,20227,20290,20442,20679,20856,21115,21270,21387,21658,21772,21921,22041,22257,22475,22549,22778,22905,23110,23222,23438,23655,23848,23998,24211,24417,24675,24948,25198,25480,25804,26157,26555,27011,27416,27694,28124,28587,29091,29556,29963,30373,30802,31094,31416,31760,31994,32118,32206,32436,32424,32454,32430,32334,32193,32179,32219,32115,32059,31936,31957,31830,31700,31474,31370,31195,31001,30865,30664,30441,30278,30031,29912,29756,29568,29448,29310,29100,28866,28687,28493,28243,27981,27564,27251,26972,26731,26521,26258,25999,25759,25514,25255,24987,24732,24422,24216,24045,23865,23649,23401,23266,23110,22879,22583,22430,
Large hydro,2922,2867,2906,2919,2913,2915,2869,2843,2839,2835,2840,2799,2752,2690,2689,2676,2669,2663,2653,2568,2559,2573,2570,2563,2521,2541,2483,2429,2398,2390,2413,2443,2449,2467,2462,2451,2427,2426,2439,2451,2444,2456,2441,2446,2471,2473,2462,2466,2457,2485,2511,2529,2542,2546,2548,2554,2563,2567,2598,2645,2736,2834,2931,2973,2958,3026,3116,3166,3183,3176,3180,3167,3165,3236,3272,3316,3312,3320,3320,3306,3392,3412,3333,3319,3273,3175,3145,3097,3091,3079,3071,2996,2848,2810,2777,2524,2374,2238,2237,2273,2275,2250,2239,2239,2240,2218,2256,2252,2187,2094,2052,2037,2017,1974,2002,2018,1989,1980,2027,2023,2021,1992,1968,1970,1987,1977,1986,1893,1873,1988,2028,2021,2027,2156,2202,2210,2213,2220,2221,2227,2223,2222,2224,2250,2219,2261,2262,2260,2556,2515,2587,2594,2628,2614,2654,2605,2594,2609,2666,2684,2697,2701,2709,2712,2717,2724,2771,2806,2875,2901,2952,2942,2938,2953,2951,2976,2935,2946,2939,2965,3024,3030,3035,3033,3122,3096,3131,3139,3151,3211,3181,3216,3255,3455,3526,3549,3503,3537,3578,3573,3578,3588,3599,3634,3751,3959,4037,4158,4188,4187,4192,4211,4224,4242,4236,4275,4320,4666,4901,4975,4978,5055,5074,5051,5076,5095,5146,5152,5139,5045,5008,5006,4989,4953,4947,4946,4959,4959,4970,4942,4830,4876,4840,4933,4857,4750,4768,4791,4786,4742,4690,4673,4647,4658,4640,4630,4535,4518,4492,4449,4452,4496,4504,4548,4465,4190,4134,4103,4017,4034,4038,4029,4020,4015,4038,4007,3885,3587,3473,3340,3316,3310,3307,3263,3228,3259,3196,3115,
Imports,6908,6874,6917,6998,6909,6763,6772,6799,6818,6869,6905,6884,6854,6809,6824,6866,6916,6908,6871,6876,6889,6796,6796,6791,6792,6810,6876,6910,6921,6950,6981,7012,6995,7009,7010,7030,7062,7075,7120,7125,7121,7086,7143,7131,7166,7149,7116,7089,7117,7177,7208,7209,7232,7191,7173,7147,7211,7244,7187,7133,7121,7235,7352,7409,7608,7585,7654,7692,7771,7883,7999,8206,8445,8652,8887,8994,9113,9125,9099,9016,8915,8797,8788,8779,8657,8660,8626,8463,8200,7885,7633,7510,7440,7239,6905,6952,6730,6609,6520,6321,6028,5823,5638,5449,5299,5203,5020,4954,4891,5015,5091,5024,4915,4821,4720,4661,4694,4666,4603,4585,4680,4590,4621,4446,4499,4456,4371,4375,4336,4299,4309,4291,4264,4057,4058,4079,4002,3960,3906,3921,3926,3911,3874,3780,3922,3919,3945,4016,3808,3900,3908,3881,3756,3797,3663,3655,3690,3631,3613,3657,3670,3682,3709,3810,3863,3843,3805,3779,3839,3912,3948,3988,3895,3984,3946,3828,3806,3731,3627,3678,3875,4017,4168,4207,4097,4242,4323,4384,4425,4357,4494,4499,4345,4053,3990,4071,4119,4256,4257,4279,4324,4314,4449,4686,4878,4827,4963,4884,4776,4667,4664,4753,4811,4911,5128,5342,5534,5503,5714,5989,6166,6308,6449,6550,6655,6728,6884,7091,7272,7268,7417,7587,7588,7749,7748,7816,7848,7964,8049,8057,8062,8013,8072,7998,8071,8185,8147,8162,8114,8065,8055,7892,7724,7923,7929,7724,7892,7908,7927,7967,7966,7874,8017,7880,7653,7824,7695,7541,7441,7379,7238,7120,7006,6982,7023,6901,6705,6607,6470,6499,6440,6445,6491,6463,6452,6412,6501,6486,
netd,11673,11584,11390,11117,11081,11059,10957,10861,10778,10636,10522,10474,10445,10437,10361,10261,10144,10107,10076,10064,10022,10084,10015,9957,9988,9880,9921,9896,9863,9828,9762,9680,9655,9639,9642,9657,9679,9661,9610,9588,9585,9572,9567,9572,9542,9538,9574,9607,9614,9573,9606,9683,9703,9820,9870,9966,10048,10134,10289,10337,10325,10261,10333,10457,10369,10488,10544,10530,10473,10489,10488,10451,10396,10400,10545,10611,10654,10702,10757,10804,10815,10827,10759,10660,10587,10471,10439,10421,10357,10400,10323,10099,9888,9825,9701,9655,9648,9487,9487,9279,9212,9195,9198,9215,9196,9204,9271,9236,9239,9162,9126,9186,9198,9193,9176,9173,9144,9152,9165,9216,9187,9254,9143,9357,9249,9281,9345,9353,9514,9430,9363,9360,9371,9427,9427,9511,9572,9668,9777,9836,9866,9898,9931,10048,9959,9934,9937,9903,9870,9958,9965,9977,10085,10120,10274,10497,10580,10701,10762,10806,10934,10971,11058,11134,11177,11322,11440,11526,11525,11530,11584,11606,11810,11905,12005,12271,12441,12611,12868,12870,12780,12780,12796,12987,13071,13104,13225,13333,13539,13702,13712,13943,14172,14413,14525,14637,14853,14756,14943,15053,15208,15320,15390,15335,15219,15212,15211,15375,15711,16094,16342,16516,16769,17004,17191,17394,17562,17525,17509,17623,17947,18193,18440,18772,19071,19271,19386,19517,19583,19805,19781,19843,19847,19752,19735,19572,19386,19256,19200,19116,19167,19047,19045,18899,18772,18539,18455,18242,18101,18058,17919,17876,17907,17450,17343,17402,17141,17022,16891,16684,16448,16317,15972,15815,15863,15550,15422,15328,15273,15108,14982,14850,14733,14517,14194,14079,14142,14228,14273,14206,14109,13894,13603,13540,13430,13208,12886,12829,
td-im,17447,17338,17174,16989,16928,16943,16831,16675,16565,16392,16281,16161,16081,16036,15915,15822,15673,15618,15564,15454,15406,15438,15325,15291,15245,15182,15113,15026,14968,14891,14795,14681,14667,14616,14592,14566,14533,14489,14456,14445,14434,14439,14401,14398,14350,14332,14379,14413,14430,14440,14494,14568,14599,14676,14745,14821,14854,14863,15018,15143,15254,15329,15476,15548,15479,15668,15756,15799,15860,15849,15855,15778,15700,15838,15946,16019,16036,16100,16223,16378,16621,16788,16880,17001,17194,17328,17555,17789,18122,18489,18757,18868,18965,19207,19560,19514,19750,20014,20126,20405,20749,20974,21173,21377,21522,21681,21805,21894,21984,21935,21948,22023,22087,22193,22290,22351,22352,22389,22448,22458,22422,22521,22616,22661,22642,22691,22756,22863,22969,23004,23016,23109,23170,23413,23490,23556,23610,23712,23830,23925,23957,24013,24093,24216,24134,24160,24195,24234,24529,24602,24685,24738,24937,25009,25282,25504,25595,25717,25883,25968,26063,26141,26258,26327,26410,26575,26751,26911,26999,27036,27182,27263,27496,27573,27702,28004,28130,28356,28583,28670,28637,28586,28545,28626,28792,28826,28950,29051,29192,29317,29342,29490,29772,30099,30239,30257,30358,30351,30432,30535,30604,30710,30727,30615,30542,30569,30540,30645,30865,31049,31095,31066,31064,31013,30907,30784,30568,30513,30277,30059,29916,29750,29528,29462,29320,29163,28990,28708,28393,28221,28030,27862,27735,27529,27487,27333,27256,27147,27090,27062,27052,27094,26992,27036,26827,26569,26539,26426,26349,26208,26048,26047,26006,25575,25409,25447,25048,24883,24655,24414,24191,24094,23719,23649,23567,23037,22872,22774,22703,22498,22375,22233,22110,21910,21623,21480,21458,21225,21202,20961,20838,20611,20346,20255,20086,19896,19577,19434,
netd+im,18581,18458,18307,18115,17990,17822,17729,17660,17596,17505,17427,17358,17299,17246,17185,17127,17060,17015,16947,16940,16911,16880,16811,16748,16780,16690,16797,16806,16784,16778,16743,16692,16650,16648,16652,16687,16741,16736,16730,16713,16706,16658,16710,16703,16708,16687,16690,16696,16731,16750,16814,16892,16935,17011,17043,17113,17259,17378,17476,17470,17446,17496,17685,17866,17977,18073,18198,18222,18244,18372,18487,18657,18841,19052,19432,19605,19767,19827,19856,19820,19730,19624,19547,19439,19244,19131,19065,18884,18557,18285,17956,17609,17328,17064,16606,16607,16378,16096,16007,15600,15240,15018,14836,14664,14495,14407,14291,14190,14130,14177,14217,14210,14113,14014,13896,13834,13838,13818,13768,13801,13867,13844,13764,13803,13748,13737,13716,13728,13850,13729,13672,13651,13635,13484,13485,13590,13574,13628,13683,13757,13792,13809,13805,13828,13881,13853,13882,13919,13678,13858,13873,13858,13841,13917,13937,14152,14270,14332,14375,14463,14604,14653,14767,14944,15040,15165,15245,15305,15364,15442,15532,15594,15705,15889,15951,16099,16247,16342,16495,16548,16655,16797,16964,17194,17168,17346,17548,17717,17964,18059,18206,18442,18517,18466,18515,18708,18972,19012,19200,19332,19532,19634,19839,20021,20097,20039,20174,20259,20487,20761,21006,21269,21580,21915,22319,22736,23096,23028,23223,23612,24113,24501,24889,25322,25726,25999,26270,26608,26855,27073,27198,27430,27435,27501,27483,27388,27234,27220,27249,27173,27229,27060,27117,26897,26843,26724,26602,26404,26215,26123,25974,25768,25631,25373,25272,25126,25033,24930,24818,24651,24414,24191,23989,23695,23516,23374,23117,22869,22714,22487,22220,21970,21739,21499,21217,20980,20847,20835,20743,20705,20549,20339,20094,20003,19882,19620,19387,19315,
