Renewables 12/09/2019undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-39,-40,-40,-40,-40,-40,-40,-41,-41,-42,-38,-29,-14,20,91,205,368,511,686,909,1156,1415,1643,1820,2179,2473,2884,3249,3529,3767,4050,4139,4361,4440,4610,4701,4859,4854,4931,5057,5170,5169,5163,5293,5313,5218,5172,5176,5220,5281,5238,5266,5538,5568,5533,5536,5620,5676,5736,5808,5834,5859,5874,5991,6210,6240,6245,6204,6245,6257,6291,6291,6256,6249,6319,6286,6144,6134,6169,6227,6218,6268,6330,6383,6412,6445,6476,6413,6263,6301,6315,6366,6439,6432,6431,6411,6415,6313,6379,6510,6611,6402,6116,5836,5829,5879,5856,5722,5660,5577,5392,5178,4812,4580,4304,4088,3868,3609,3260,3008,2658,2298,1921,1541,1224,953,700,495,341,200,88,47,14,-9,-37,-35,-34,-33,-32,-32,-32,-32,-32,-32,-32,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-32,-32,-32,-32,-32,-32,-32,-31,-32,-31,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32
Wind,2445,2415,2425,2464,2538,2595,2637,2659,2716,2798,2833,2865,2930,3013,3033,3039,3012,2988,2953,2940,2923,2880,2864,2871,2835,2803,2871,2934,3002,3021,3029,3016,3047,3103,3135,3174,3217,3200,3137,3115,3032,2971,2958,2989,2972,2949,2934,2944,2933,2891,2837,2787,2705,2574,2445,2302,2114,1980,1913,1899,1866,1774,1741,1714,1666,1598,1484,1397,1356,1304,1254,1257,1315,1342,1317,1283,1238,1209,1178,1123,1067,1030,1036,1065,1162,1278,1386,1435,1446,1457,1429,1475,1491,1476,1427,1321,1180,1050,965,940,916,867,840,808,780,760,806,843,816,786,768,752,763,769,775,769,776,848,914,942,939,962,998,1008,983,945,953,977,999,1045,1055,1025,1017,1030,1015,992,989,945,888,839,836,845,866,861,832,843,862,864,830,796,822,911,1040,1038,1073,1198,1263,1280,1305,1275,1249,1339,1307,1121,1002,1086,1236,1362,1437,1412,1405,1319,1237,1236,1246,1277,1297,1329,1325,1309,1275,1211,1198,1199,1222,1256,1282,1339,1363,1365,1320,1319,1305,1286,1241,1196,1181,1181,1177,1185,1182,1164,1140,1085,1031,1026,1012,987,984,969,943,880,826,791,772,754,732,720,687,642,602,581,565,530,501,490,502,520,526,522,504,498,486,459,430,416,395,384,379,373,370,367,363,343,324,325,318,309,299,280,262,246,241,239,240,237,230,225,227,229,232,239,241,242,241,238,237,237,238,238,226,220,233,245,251,249,250,257,264,252,239,230,219,223,232,234,234,223
Geothermal,731,730,730,730,730,730,730,730,730,730,730,730,730,731,730,730,731,731,730,730,730,729,730,729,729,729,729,730,730,730,730,729,730,729,729,729,729,724,729,729,729,729,729,730,729,730,731,731,730,730,731,731,730,730,731,731,731,731,730,730,730,730,730,730,729,730,730,731,731,731,731,731,730,731,731,729,730,730,730,730,730,730,730,730,731,730,730,729,730,730,731,730,730,731,733,734,733,734,733,734,734,734,734,734,734,733,729,734,733,734,734,733,733,733,733,733,732,732,732,732,713,695,699,713,726,732,732,732,732,732,731,731,732,731,732,732,731,731,730,731,730,731,732,731,731,731,731,731,731,731,730,731,731,732,731,731,730,730,731,732,731,731,731,731,730,730,730,730,730,732,732,731,730,730,730,730,731,730,727,728,729,728,728,728,729,731,731,731,731,731,732,731,731,731,732,733,731,733,732,733,733,734,734,733,733,734,734,733,734,734,734,734,734,733,734,733,733,732,733,734,734,734,733,733,734,732,731,734,733,732,733,733,732,734,734,734,733,734,734,734,733,734,734,734,734,734,734,734,734,734,734,734,734,734,734,734,732,732,733,732,732,733,733,734,735,734,734,734,734,735,734,733,735,734,734,734,734,735,735,735,735,735,734,734,735,735,735,735
Biomass,324,324,325,325,327,328,328,328,325,325,325,310,325,325,326,327,328,331,330,331,329,330,330,331,330,316,332,333,332,318,333,334,334,334,334,335,335,335,332,331,331,331,331,331,332,332,332,318,334,334,335,335,335,335,334,319,333,334,332,335,336,337,338,339,340,339,337,322,337,338,339,326,344,347,326,346,345,346,344,347,346,342,335,314,324,322,322,321,320,319,291,314,314,307,285,312,319,323,327,330,333,317,335,338,339,339,342,345,345,330,346,347,346,333,346,345,343,319,339,339,316,337,334,336,315,340,343,348,351,351,354,356,359,358,357,358,337,359,360,357,352,353,357,343,355,357,357,357,360,359,358,363,364,360,342,359,358,360,340,362,361,361,340,360,361,357,361,360,361,361,342,359,361,362,339,361,360,360,360,350,352,336,351,351,349,348,350,350,353,352,331,351,349,338,354,352,354,355,355,357,355,356,335,357,357,342,358,355,357,338,350,350,351,349,350,350,350,351,353,353,331,354,354,355,334,357,356,360,337,361,359,361,361,361,361,362,339,359,359,344,359,361,361,347,361,359,361,360,361,362,340,362,361,362,340,363,361,362,340,364,365,363,343,363,360,355,330,352,351,351,350,352,351,335,350,348,344,342,342,338,338,324,338,339,339,323,337,338
Biogas,211,212,216,217,219,217,215,215,215,215,214,215,215,214,214,213,213,214,216,216,216,215,215,216,216,216,216,216,216,216,216,216,216,216,216,216,214,213,213,213,213,214,213,213,213,213,213,214,214,214,213,212,212,212,212,212,212,212,212,212,211,211,211,211,211,211,211,212,212,211,211,211,211,212,213,215,214,215,214,214,214,214,214,214,214,214,215,215,214,214,214,215,216,216,216,212,211,211,211,211,211,212,211,211,209,210,208,208,208,208,208,209,210,211,211,212,214,214,214,214,214,214,214,214,214,214,215,218,216,217,216,217,217,217,217,216,212,212,211,211,211,211,211,212,213,214,214,213,213,213,212,213,213,212,211,213,212,213,212,213,212,212,212,212,212,213,215,217,216,216,216,216,216,216,216,216,216,217,216,216,216,216,216,216,216,216,216,216,216,215,215,215,214,211,211,211,211,211,211,211,211,210,211,211,210,210,211,211,211,211,210,211,210,211,210,212,211,211,210,210,210,210,211,209,209,209,210,209,209,209,209,209,208,209,208,208,208,209,209,208,206,205,204,204,205,204,204,204,204,204,204,205,204,206,207,209,209,208,207,207,207,209,208,208,209,210,209,210,210,209,210,210,209,210,209,209,209,209,209,209,209,209,210,209,209,209,210,209
Small hydro,254,255,258,259,257,260,262,262,262,263,263,248,231,220,215,215,215,215,215,215,216,215,215,215,215,215,215,215,214,215,215,215,215,215,215,216,216,215,216,216,217,217,217,215,215,215,216,216,216,217,218,221,221,221,222,220,219,226,226,224,224,228,248,251,252,251,251,251,251,250,249,249,250,255,288,288,288,287,285,285,286,286,286,286,285,274,278,279,279,279,279,279,279,279,279,279,279,279,270,260,260,259,259,258,259,261,260,260,259,259,259,257,257,257,256,256,255,256,256,256,256,251,243,240,241,242,242,240,241,250,263,263,264,263,263,263,263,263,261,259,258,243,236,237,237,238,239,239,239,240,240,240,240,239,239,240,241,238,241,241,242,242,241,243,244,244,244,248,259,260,261,260,260,260,260,259,260,262,262,262,262,259,257,260,262,262,261,261,262,261,262,265,303,311,341,347,356,356,357,354,352,350,350,351,363,376,379,378,378,379,380,380,380,380,380,379,379,372,364,366,366,365,365,365,365,365,365,365,370,380,373,372,372,372,372,372,372,372,372,372,372,366,352,321,321,321,321,323,323,323,323,322,311,309,308,307,307,307,305,304,303,303,303,303,304,306,305,306,305,306,306,305,305,305,306,306,305,305,291,260,255,255,254,255,254,254,253,240
