Net Demand 09/10/2019undefined,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Hour-ahead forecast,24990,24712,24712,24712,24459,24459,24459,24111,24111,24111,23860,23860,23860,23655,23655,23655,23425,23425,23425,23187,23187,23187,22957,22957,22957,22855,22855,22855,22738,22738,22738,22537,22537,22537,22477,22477,22477,22336,22336,22336,22321,22321,22321,22266,22266,22266,22276,22276,22276,22487,22487,22487,22595,22595,22595,22774,22774,22774,22956,22956,22956,23360,23360,23360,23738,23738,23738,24126,24126,24126,24555,24555,24555,25467,25467,25467,26026,26026,26026,26304,26304,26304,26485,26485,26485,26908,26908,26908,27130,27130,27130,27144,27144,27144,27307,27307,27307,27255,27255,27255,27327,27327,27327,27246,27246,27246,27307,27307,27307,27333,27333,27333,27213,27213,27213,27191,27191,27191,27237,27237,27237,27367,27367,27367,27323,27323,27323,27398,27398,27398,27348,27348,27348,27212,27212,27212,27237,27237,27237,27290,27290,27290,27096,27096,27096,27000,27000,27000,27036,27036,27036,27138,27138,27138,27263,27263,27263,27384,27384,27384,27654,27654,27654,27804,27804,27804,27946,27946,27946,28242,28242,28242,28387,28387,28387,28588,28588,28588,28859,28859,28859,29239,29239,29239,29602,29602,29602,29862,29862,29862,30194,30194,30194,30508,30508,30508,30700,30700,30700,31019,31019,31019,31154,31154,31154,31141,31141,31141,31310,31310,31310,31518,31518,31518,31530,31530,31530,31328,31328,31328,31307,31307,31307,31183,31183,31183,31154,31154,31154,31408,31408,31408,31731,31731,31731,32009,32009,32009,31921,31921,31921,31850,31850,31850,31513,31513,31513,31216,31216,31216,30756,30756,30756,30230,30230,30230,29893,29893,29893,29403,29403,29403,28854,28854,28854,28149,28149,28149,27589,27589,27589,27024,27024,27024,26457,26457,26457,25872,25872,25872,25406,25406,25406,25002,25002,25002,24556,24556
Demand,24923,24912,24820,24753,24642,24541,24401,24311,24225,24121,23992,23921,23887,23822,23741,23680,23592,23498,23443,23306,23241,23198,23122,23075,23012,23009,22931,22843,22732,22703,22686,22667,22609,22544,22466,22395,22461,22370,22408,22377,22345,22300,22276,22290,22358,22268,22278,22289,22317,22381,22503,22547,22597,22618,22626,22680,22681,22759,22781,22840,22994,23139,23348,23528,23609,23732,23778,23950,24119,24244,24398,24550,24695,25126,25427,25662,25875,26006,26144,26237,26374,26405,26407,26485,26520,26643,26851,26874,26923,26975,27090,27130,27120,27079,27053,27085,27120,27212,27298,27251,27228,27177,27206,27221,27311,27365,27430,27297,27166,27190,27304,27294,27265,27260,27294,27309,27305,27340,27354,27257,27312,27437,27362,27292,27243,27308,27365,27360,27380,27204,27168,27174,27225,27238,27225,27163,27166,27025,26914,26992,27019,27018,26936,26953,26981,26964,26988,26949,26982,26978,26957,26967,26998,27008,27065,27160,27230,27317,27349,27426,27450,27545,27626,27635,27690,27750,27894,28009,28139,28199,28206,28201,28323,28432,28533,28542,28721,28792,28897,29017,29084,29159,29307,29276,29430,29610,29750,29750,29877,29961,30157,30340,30368,30325,30306,30333,30466,30548,30753,30814,30845,30885,30952,31086,31137,31155,31114,31181,31282,31357,31449,31415,31482,31495,31557,31569,31562,31357,31234,31176,31259,31230,31144,31146,31178,31184,31086,31310,31189,31458,31519,31598,31690,31854,31966,32033,32010,32040,32049,32037,31958,31894,31809,31745,31652,31567,31430,31319,31227,31072,30925,30818,30699,30496,30413,30268,30091,29947,29835,29659,29456,29321,29096,28940,28660,28407,28215,28007,27862,27648,27494,27269,27054,26846,26634,26480,26257,26112,25941,25810,25626,25489,25324,25139,25036,24853,24683,24561
Day-ahead net forecast,20497,20467,20494,20432,20396,20345,20253,20114,20017,19917,19821,19722,19623,19607,19501,19431,19331,19284,19283,19160,19127,19086,19046,18967,18911,18881,18847,18756,18559,18529,18468,18442,18358,18286,18276,18192,18192,18242,18200,18241,18227,18260,18277,18312,18450,18402,18434,18472,18425,18462,18513,18599,18575,18648,18629,18706,18790,18890,19025,19140,19281,19453,19706,19898,20037,20169,20282,20400,20626,20805,21010,21189,21399,21734,22221,22416,22706,22885,23113,23266,23451,23529,23487,23391,23274,23092,22999,22708,22333,22041,21722,21352,20878,20411,19937,19461,19057,18656,18295,17834,17382,16966,16532,16226,15921,15633,15486,15287,15067,14793,14838,14724,14659,14535,14412,14285,14141,14177,14140,14199,14111,14199,14266,14265,14438,14545,14658,14438,14345,14356,14411,14390,14510,14459,14384,14269,14112,14112,13950,13750,13569,13600,13529,13387,13333,13263,13225,13319,13188,13189,13152,13098,13071,13080,13057,13063,13118,13148,13082,13105,13162,13130,13075,13150,13131,13238,13219,13275,13467,13908,14017,13616,13504,13511,13586,13717,13799,13975,14112,14456,14671,14406,14459,14651,14596,14831,14969,15113,15312,15453,15467,15830,16071,16044,16155,16444,17034,17129,17258,17494,17658,17860,18074,18330,18578,18899,19164,19531,19781,20108,20438,20839,21195,21620,22086,22479,22991,23474,23721,24069,24683,25045,25384,25688,26093,26352,26528,26955,26962,27286,27533,27727,27801,28027,28132,28274,28300,28307,28293,28262,28183,28080,27939,27911,27908,27773,27680,27601,27495,27476,27364,27281,27239,27059,26961,26813,26622,26449,26254,26139,25998,25798,25582,25458,25195,24937,24750,24550,24371,24198,24033,23827,23696,23446,23217,23058,22825,22584,22364,22186,22021,21862,21730,21607,21559,21411,21233,21050
Large hydro,2429,2550,2570,2540,2502,2448,2401,2389,2395,2380,2320,2289,2187,2122,2119,2112,2088,2081,2067,2052,2049,2033,2034,2026,2026,2027,2045,2034,1950,1862,1823,1898,1912,1882,1882,1853,1826,1793,1796,1790,1813,1795,1791,1813,1825,1848,1875,1868,1808,1781,1814,1814,1808,1829,1853,1850,1886,1981,2098,2130,2104,2177,2277,2374,2429,2498,2566,2577,2615,2606,2640,2652,2653,2894,2992,3001,3051,3093,3118,3120,3142,3136,3014,2993,2986,2954,3011,2974,2947,2885,2783,2753,2684,2613,2584,2570,2498,2433,2395,2365,2342,2221,2138,1875,1771,1818,1759,1579,1631,1637,1607,1572,1548,1523,1494,1480,1487,1435,1456,1208,1235,1580,1629,1611,1593,1583,1560,1587,1362,1329,1386,1389,1437,1518,1503,1527,1744,1662,1709,1692,1680,1686,1701,1705,1677,1581,1624,1607,1575,1563,1540,1513,1510,1513,1512,1481,1480,1497,1543,1576,1610,1599,1549,1611,1630,1647,1646,1651,1732,1814,1836,1811,1709,1668,1661,1679,1624,1690,1710,1718,1722,1722,1651,1683,1714,1690,1688,1678,1735,1792,1828,1776,1850,1806,1825,1887,2181,2149,2080,2080,2150,2177,2160,2256,2444,2638,2835,2949,3039,3035,3109,3118,3161,3260,3377,3436,3506,3681,3784,3710,3762,3937,3941,3856,3960,4119,4189,4225,4245,4378,4468,4555,4601,4592,4587,4586,4587,4574,4559,4564,4535,4462,4415,4396,4411,4386,4330,4329,4361,4368,4393,4371,4260,3968,3881,3852,3854,3904,3902,3879,3875,3841,3799,3845,3788,3567,3452,3498,3562,3565,3445,3363,3379,3375,3352,3309,3204,3026,2939,2917,2880,2866,2813,2661,2603,2608,2579,2518
Imports,7279,7131,7128,7081,7109,7115,7054,6959,6918,6905,6903,6922,7030,7093,7018,7019,6972,6928,6952,6831,6816,6795,6749,6733,6673,6706,6781,6878,6944,6970,6940,6803,6734,6701,6634,6588,6711,6670,6685,6703,6684,6743,6766,6790,6887,6801,6801,6861,6928,6961,6998,7012,7040,7044,7008,7093,7114,7115,7082,7154,7278,7365,7414,7456,7478,7583,7579,7719,7863,8024,8178,8336,8534,8773,9009,9202,9257,9219,9302,9365,9468,9467,9527,9463,9340,9209,9149,8837,8658,8550,8439,8167,7819,7498,7243,6965,6647,6352,6194,5985,5748,5575,5416,5606,5680,5566,5549,5629,5615,5666,5661,5548,5473,5329,5262,5252,5254,5293,5166,5451,5398,5310,5298,5296,5552,5668,5749,5569,5661,5717,5670,5586,5515,5378,5288,5154,5013,5029,4845,4752,4600,4592,4364,4238,4201,4251,4306,4277,4221,4143,4039,4021,3972,4012,4044,4117,4112,4221,4234,4326,4334,4388,4353,4357,4379,4457,4508,4557,4468,4471,4479,4164,4142,4212,4219,4307,4405,4407,4629,4866,5043,4859,5067,5134,5238,5240,5359,5490,5580,5587,5557,5793,5762,5497,5493,5569,5685,5657,5830,5897,6049,6058,6178,6346,6360,6298,6274,6391,6411,6656,6870,7061,7291,7492,7648,8000,8357,8038,8220,8539,8893,9035,9247,9617,9706,9776,9806,10121,9994,10025,10171,10319,10622,10855,10952,11071,11080,11121,11119,11057,10979,10970,10842,10836,10828,10778,10759,10700,10686,10639,10567,10513,10491,10537,10476,10361,10313,10141,10039,10059,9974,9824,9684,9567,9390,9332,9326,9124,8985,8809,8758,8645,8501,8313,8151,8046,7909,7893,7803,7700,7769,7791,7766,7810,7809,7786,7640,7577
netd,10789,10786,10796,10811,10785,10782,10798,10766,10704,10632,10598,10511,10406,10392,10364,10300,10271,10275,10264,10277,10262,10258,10263,10208,10212,10148,10021,9844,9665,9697,9705,9741,9712,9703,9760,9751,9655,9779,9719,9748,9730,9722,9720,9709,9738,9753,9758,9743,9689,9720,9701,9773,9727,9775,9768,9763,9790,9794,9845,9856,9899,9911,10015,10068,10130,10088,10137,10104,10148,10175,10192,10201,10212,10067,10220,10213,10398,10573,10693,10781,10841,10926,10946,10935,10948,10929,10839,10897,10728,10606,10500,10432,10375,10300,10110,9926,9912,9871,9706,9484,9292,9170,8978,8745,8470,8249,8178,8079,7821,7490,7570,7604,7638,7683,7656,7553,7400,7449,7518,7540,7478,7309,7339,7358,7293,7294,7349,7282,7322,7310,7355,7415,7558,7563,7593,7588,7355,7421,7396,7306,7289,7322,7464,7444,7455,7431,7295,7435,7392,7483,7573,7564,7589,7555,7501,7465,7526,7430,7305,7203,7218,7143,7173,7182,7122,7134,7065,7067,7267,7623,7702,7641,7653,7631,7706,7731,7770,7878,7773,7872,7906,7825,7741,7834,7644,7901,7922,7945,7997,8074,8082,8261,8459,8741,8837,8988,9168,9323,9348,9517,9459,9625,9736,9728,9774,9963,10055,10191,10331,10417,10459,10660,10743,10868,11061,11043,11128,11755,11717,11820,12028,12073,12196,12215,12427,12457,12533,12609,12723,12883,12894,12853,12578,12580,12593,12617,12633,12612,12615,12641,12669,12648,12682,12679,12669,12609,12591,12572,12448,12469,12404,12397,12488,12554,12604,12600,12455,12404,12313,12201,12149,12133,12099,12046,12017,12038,11972,11928,11824,11824,11830,11819,11816,11758,11714,11703,11712,11665,11622,11569,11372,11205,11151,11136,11147,11017,11014,10955
td-im,17644,17781,17692,17672,17533,17426,17347,17352,17307,17216,17089,16999,16857,16729,16723,16661,16620,16570,16491,16475,16425,16403,16373,16342,16339,16303,16150,15965,15788,15733,15746,15864,15875,15843,15832,15807,15750,15700,15723,15674,15661,15557,15510,15500,15471,15467,15477,15428,15389,15420,15505,15535,15557,15574,15618,15587,15567,15644,15699,15686,15716,15774,15934,16072,16131,16149,16199,16231,16256,16220,16220,16214,16161,16353,16418,16460,16618,16787,16842,16872,16906,16938,16880,17022,17180,17434,17702,18037,18265,18425,18651,18963,19301,19581,19810,20120,20473,20860,21104,21266,21480,21602,21790,21615,21631,21799,21881,21668,21551,21524,21643,21746,21792,21931,22032,22057,22051,22047,22188,21806,21914,22127,22064,21996,21691,21640,21616,21791,21719,21487,21498,21588,21710,21860,21937,22009,22153,21996,22069,22240,22419,22426,22572,22715,22780,22713,22682,22672,22761,22835,22918,22946,23026,22996,23021,23043,23118,23096,23115,23100,23116,23157,23273,23278,23311,23293,23386,23452,23671,23728,23727,24037,24181,24220,24314,24235,24316,24385,24268,24151,24041,24300,24240,24142,24192,24370,24391,24260,24297,24374,24600,24547,24606,24828,24813,24764,24781,24891,24923,24917,24796,24827,24774,24740,24777,24857,24840,24790,24871,24701,24579,24354,24191,24003,23909,23569,23205,23319,23014,22637,22366,22195,21897,21529,21472,21408,21280,21189,21195,21433,21348,21279,21068,20999,21014,20962,20930,20919,20930,20980,20979,20924,20967,20909,20824,20789,20671,20619,20541,20433,20358,20305,20208,19959,19937,19907,19778,19806,19796,19600,19482,19497,19412,19373,19270,19075,18889,18883,18877,18839,18736,18624,18553,18533,18483,18434,18348,18219,18138,18110,17857,17698,17558,17329,17227,17067,17043,16984
netd+im,18068,17917,17924,17892,17894,17897,17852,17725,17622,17537,17501,17433,17436,17485,17382,17319,17243,17203,17216,17108,17078,17053,17012,16941,16885,16854,16802,16722,16609,16667,16645,16544,16446,16404,16394,16339,16366,16449,16404,16451,16414,16465,16486,16499,16625,16554,16559,16604,16617,16681,16699,16785,16767,16819,16776,16856,16904,16909,16927,17010,17177,17276,17429,17524,17608,17671,17716,17823,18011,18199,18370,18537,18746,18840,19229,19415,19655,19792,19995,20146,20309,20393,20473,20398,20288,20138,19988,19734,19386,19156,18939,18599,18194,17798,17353,16891,16559,16223,15900,15469,15040,14745,14394,14351,14150,13815,13727,13708,13436,13156,13231,13152,13111,13012,12918,12805,12654,12742,12684,12991,12876,12619,12637,12654,12845,12962,13098,12851,12983,13027,13025,13001,13073,12941,12881,12742,12368,12450,12241,12058,11889,11914,11828,11682,11656,11682,11601,11712,11613,11626,11612,11585,11561,11567,11545,11582,11638,11651,11539,11529,11552,11531,11526,11539,11501,11591,11573,11624,11735,12094,12181,11805,11795,11843,11925,12038,12175,12285,12402,12738,12949,12684,12808,12968,12882,13141,13281,13435,13577,13661,13639,14054,14221,14238,14330,14557,14853,14980,15178,15414,15508,15683,15914,16074,16134,16261,16329,16582,16742,17073,17329,17721,18034,18360,18709,19043,19485,19793,19937,20359,20921,21108,21443,21832,22133,22233,22339,22730,22717,22908,23065,23172,23200,23435,23545,23688,23713,23733,23734,23698,23648,23618,23524,23515,23497,23387,23350,23272,23134,23108,22971,22910,22979,23091,23080,22961,22768,22545,22352,22260,22123,21957,21783,21613,21407,21370,21298,21052,20809,20633,20588,20464,20317,20071,19865,19749,19621,19558,19425,19269,19141,18996,18917,18946,18956,18803,18654,18532
