X,Y,Plant_Code,Plant_Name,State,Zip,PrimSource
-120.149966,37.089701,63419,DGS Central California Womens Facility,California,93610,solar
-119.810408,36.818646,63420,Fresno Bullard High School Hybrid,California,93704,solar
-119.770709,36.817816,63421,Fresno Hoover High School Hybrid,California,93710,solar
-119.717809,36.734014,63422,Fresno Sunnyside High School Hybrid,California,93727,solar
-111.6462,40.24724,63423,BYU Central Heating Plant,Utah,84602,natural gas
-93.27304,44.25271,63424,Straight Garden Solar,Minnesota,55021,solar
-95.26357,45.71693,63425,Leven Garden Solar,Minnesota,56385,solar
-92.75999,44.04603,63426,Zumbro Solar Garden,Minnesota,55944,solar
-94.2226,44.54328,63427,Mud Garden Solar,Minnesota,55334,solar
-76.968186,38.936172,63428,"IGS CC, LLC",District of Columbia,20018,solar
-94.01007,44.67524,63429,Erin Garden Solar,Minnesota,55338,solar
-93.21279,44.48595,63430,Chub Garden Solar,Minnesota,55057,solar
-95.3725,43.6256,63431,Cisco,Minnesota,56119,wind
-96.433333,44.287778,63432,Lincoln Heights I,Minnesota,56149,wind
-101.816495,46.964077,62938,Glen Ullin Energy Center,North Dakota,58631,wind
