Lon,Lat,NAMELSAD
-123.8373077,40.28584174,Humboldt County
-123.7928774,40.10300786,Humboldt County
-124.1318534,40.78091459,Humboldt County
-124.2096559,40.74032526,Humboldt County
-124.072347,40.90513782,Humboldt County
-124.1523425,40.86575137,Humboldt County
-124.1352072,40.59459298,Humboldt County
-121.641651,37.80116,Contra Costa County
-124.1040001,40.48092347,Humboldt County
-123.6697785,40.72891925,Humboldt County
-124.0992681,40.49538982,Humboldt County
-123.8282375,40.82049761,Humboldt County
-121.120652,37.73329501,San Joaquin County
-124.1284232,41.06473688,Humboldt County
-115.5188889,32.99897909,Imperial County
-115.9785357,33.12533089,Imperial County
-114.5745907,32.78149971,Imperial County
-114.4800809,32.90250651,Imperial County
-115.6887666,33.38496117,Imperial County
-115.5002718,32.66910959,Imperial County
-115.5779823,32.81791422,Imperial County
-116.0507499,33.41180556,Imperial County
-115.5791028,32.79963333,Imperial County
-114.9841401,33.05360069,Imperial County
-114.8841944,33.04703333,Imperial County
-115.5681245,32.91199807,Imperial County
-114.590084,32.75293878,Imperial County
-115.0311648,32.70621445,Imperial County
-114.9425616,32.71114659,Imperial County
-114.7126452,32.73657328,Imperial County
-115.680425,32.81140555,Imperial County
-115.501121,33.24227704,Imperial County
-115.5429722,32.98697223,Imperial County
-115.857801,32.79184606,Imperial County
-115.5085444,32.68598055,Imperial County
-115.9698333,33.28528889,Imperial County
-115.6946665,32.79148946,Imperial County
-115.6376722,32.75270556,Imperial County
-115.7434361,32.88062222,Imperial County
-115.2832006,32.69940301,Imperial County
-115.6189923,33.03810038,Imperial County
-117.9796042,37.37438227,Inyo County
-117.9564555,36.10989167,Inyo County
-118.0725009,36.60071079,Inyo County
-118.7018945,37.35976047,Inyo County
-118.4653526,37.34980639,Inyo County
-118.3505364,37.40070021,Inyo County
-120.0111956,35.7116008,Kern County
-120.0424297,35.65850145,Kern County
-118.9009699,34.88051458,Kern County
-119.1183189,35.4707658,Kern County
-119.1154201,35.57075757,Kern County
-119.035393,35.40105743,Kern County
-118.8442502,34.95491418,Kern County
-119.8662835,35.78573189,Kern County
-119.0618268,35.06401416,Kern County
-118.9252995,34.92639747,Kern County
-119.9964345,35.6579012,Kern County
-119.9136038,35.7755224,Kern County
-118.8784674,35.15031453,Kern County
-118.9332139,35.31698056,Kern County
-119.004436,35.38723247,Kern County
-119.8537112,35.61462223,Kern County
-119.4035453,35.10678049,Kern County
-119.8052306,35.54109995,Kern County
-119.7603817,35.4747136,Kern County
-119.429419,35.09714151,Kern County
-119.3253139,35.60807501,Kern County
-119.2789365,35.09339007,Kern County
-119.6095695,35.31512502,Kern County
-119.9737889,35.77500833,Kern County
-118.9764344,35.42797818,Kern County
-119.0460399,35.50103906,Kern County
-118.9717712,35.35577972,Kern County
-119.3766031,35.22606664,Kern County
-119.5852944,35.19517779,Kern County
-119.3214819,35.39404669,Kern County
-119.092688,35.3772676,Kern County
-119.4489669,35.50111517,Kern County
-119.3361848,35.15360385,Kern County
-118.9261907,34.91833522,Kern County
-119.0305112,35.50944487,Kern County
-119.1011222,35.09414443,Kern County
-119.1518273,35.50036603,Kern County
-119.398181,35.10778002,Kern County
-119.2768598,35.68838406,Kern County
-119.6623248,35.31982573,Kern County
-119.6245472,35.24241942,Kern County
-119.5803103,35.2329709,Kern County
-119.4070389,35.09082503,Kern County
-119.3090374,35.28599981,Kern County
-119.1006862,35.20843056,Kern County
-119.0216521,35.29555607,Kern County
-119.7595381,35.517707,Kern County
-119.2607154,35.44202961,Kern County
-118.8226315,35.42982347,Kern County
-119.077933,35.37716309,Kern County
-118.8781167,35.09239722,Kern County
-119.5823472,35.1933472,Kern County
-119.4375241,35.60074571,Kern County
-119.3178014,35.51390484,Kern County
-119.4553416,35.71782151,Kern County
-118.5670131,35.10881659,Kern County
-119.4438304,35.0932291,Kern County
-119.4406975,35.09175615,Kern County
-118.9796384,35.01965139,Kern County
-118.9551559,35.01965399,Kern County
-119.5712604,35.19434121,Kern County
-119.2706556,35.35416109,Kern County
-119.8580981,35.73065651,Kern County
-119.3261944,35.6018111,Kern County
-118.8800083,35.22374722,Kern County
-118.7789744,35.22432026,Kern County
-119.0403167,35.37392781,Kern County
-118.9775056,35.42795693,Kern County
-119.5924379,35.29606803,Kern County
-119.0207361,35.44070561,Kern County
-118.6861278,34.81550555,Los Angeles County
-118.5247667,35.58810833,Kern County
-118.3741213,35.12389407,Kern County
-119.2045057,35.70369931,Kern County
-118.3108221,35.03026569,Kern County
-117.9530671,34.94057401,Kern County
-118.4946673,35.10966362,Kern County
-119.2424861,35.77551392,Kern County
-118.826285,34.94123996,Kern County
-119.0098992,34.81499978,Kern County
-118.6950727,35.7222499,Kern County
-118.1861563,35.05410894,Kern County
-118.1554673,34.83738247,Kern County
-118.5564021,35.73837172,Kern County
-118.5275716,35.48368775,Kern County
-118.478256,35.63265859,Kern County
-118.4818546,35.6444035,Kern County
-118.4232873,35.30690556,Kern County
-118.3796721,35.12376189,Kern County
-121.832271,38.12530207,Solano County
-119.2333701,35.71895095,Kern County
-118.8431278,34.93527777,Kern County
-119.1298083,35.73285976,Kern County
-117.6977315,34.93014632,Kern County
-118.2373311,34.86428131,Kern County
-117.8962833,34.87995833,Kern County
-118.492508,35.41102545,Kern County
-118.2628215,35.66663278,Kern County
-118.7510667,34.81941387,Kern County
-118.9904154,35.45227062,Kern County
-119.5536056,36.08514444,Kings County
-119.5717083,35.99203334,Kings County
-119.6473106,36.26869793,Kings County
-120.1171583,35.97812224,Kings County
-119.5571927,36.10940095,Kings County
-119.6552247,36.22631337,Kings County
-119.6489407,36.2696503,Kings County
-119.6858489,36.40412655,Kings County
-119.7799139,36.2224111,Kings County
-120.1113917,36.04359445,Kings County
-119.7983006,36.30933381,Kings County
-119.6536119,36.27633342,Kings County
-119.9494833,36.00345277,Kings County
-122.8940008,39.00776751,Lake County
-122.9325679,39.07721407,Lake County
-122.7410063,38.93233036,Lake County
-122.8128382,39.11038686,Lake County
-122.6623833,39.02753504,Lake County
-122.9166584,39.14574049,Lake County
-121.2780001,40.74489222,Lassen County
-120.5403437,40.31499479,Lassen County
-120.4226288,40.36547281,Lassen County
-120.6671093,40.41749316,Lassen County
-120.3519513,40.15526654,Lassen County
-121.0915844,40.58807127,Lassen County
-121.0881239,40.26934857,Plumas County
-121.0016847,40.29997937,Lassen County
-118.2841966,34.16270281,Los Angeles County
-118.4587732,34.27357024,Los Angeles County
-118.3940417,33.99032214,Los Angeles County
-118.4505278,34.30787223,Los Angeles County
-118.2461297,34.04335333,Los Angeles County
-118.264962,33.77047202,Los Angeles County
-118.423154,34.17158743,Los Angeles County
-118.5915883,34.1895064,Los Angeles County
-118.5438005,34.17935193,Los Angeles County
-118.3440788,34.19901498,Los Angeles County
-118.3140289,34.17638134,Los Angeles County
-117.9249665,34.12515424,Los Angeles County
-117.9556304,34.04748128,Los Angeles County
-118.1490914,34.09126536,Los Angeles County
-118.2473837,33.8349536,Los Angeles County
-118.0265504,34.07144828,Los Angeles County
-118.3217278,33.86143513,Los Angeles County
-118.147688,34.567506,Los Angeles County
-118.0384571,34.10562887,Los Angeles County
-118.5013428,34.38186113,Los Angeles County
-119.0094663,35.49595252,Kern County
-118.025731,34.14413076,Los Angeles County
-118.2434772,33.81749482,Los Angeles County
-118.1706118,34.19972227,Los Angeles County
