PlantCode,GenID,power_gen,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon
59868,GEN01,25.858435791433248,2314,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.819,-118.432
59872,UCD1,16.807983591310073,7649,Solar Photovoltaic,11.8070658,16.8079826,0,0,10.2,-7.0,38.55,-121.75
59877,MB20,-9.690491283473151e-07,1861,Other Waste Biomass,0.0,1.4,0,0,13.9,-9.5,33.9617,-117.455897
59878,GEN01,25.858435791433248,2264,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,35.0199,-118.2879
59879,GEN01,195.360476945038,2314,Solar Photovoltaic,137.234434,195.360475,0,0,10.2,-7.0,34.862,-118.38
59900,C3CA,25.858435791434037,2402,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,36.15042,-119.58542
59915,ORCA,25.85843579135563,8766,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,36.876847,-120.667608
59916,12307,1.2929227316444782,1016,Solar Photovoltaic,0.908235832,1.29292174,0,0,10.2,-7.0,34.03527,-117.5341
59942,ML1,1.9393835996180915,478,Solar Photovoltaic,1.36235375,1.93938261,0,0,10.2,-7.0,34.6608,-118.0836
59948,BF111,1.8100914309230272,259,Solar Photovoltaic,1.27153016,1.81009044,0,0,10.2,-7.0,35.317551,-118.989894
59952,1,-9.96466835004798e-07,1333,Landfill Gas,0.0,1.6,0,0,23.1666667,-13.7,38.216973,-121.979452
59952,2,-9.96466835004798e-07,1333,Landfill Gas,0.0,1.6,0,0,23.1666667,-13.7,38.216973,-121.979452
59952,3,-9.96466835004798e-07,1333,Landfill Gas,0.0,1.6,0,0,23.1666667,-13.7,38.216973,-121.979452
59952,4,-9.96466835004798e-07,1333,Landfill Gas,0.0,1.6,0,0,23.1666667,-13.7,38.216973,-121.979452
59952,5,-9.96466835004798e-07,1333,Landfill Gas,0.0,1.6,0,0,23.1666667,-13.7,38.216973,-121.979452
59961,WABSB,25.858435789655537,407,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.73206,-118.313573
59962,NLR,25.858435789655537,407,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.719538,-118.31301
59963,CADRC,25.858435789655537,407,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.720499,-118.30046
59964,ELVSC,51.71687058965555,407,Solar Photovoltaic,36.3294333,51.7168696,0,0,10.2,-7.0,34.730263,-118.30425
59976,ASTR1,129.29217528435498,2314,Solar Photovoltaic,90.8235832,129.292174,0,0,10.2,-7.0,34.844226,-118.458466
59977,ASTR2,96.96913149143326,2314,Solar Photovoltaic,68.1176874,96.9691305,0,0,10.2,-7.0,34.836649,-118.480204
59978,ECA22,1.939383601385312,155,Solar Photovoltaic,1.36235375,1.93938261,0,0,10.2,-7.0,39.69898,-122.175583
59979,GEN1,24.824098391384304,1505,Solar Photovoltaic,17.438128,24.8240974,0,0,10.2,-7.0,38.019671,-121.86506
60007,MORLS,19.393827089161945,276,Solar Photovoltaic,13.6235375,19.3938261,0,0,10.2,-7.0,35.731362,-119.818712
60026,PV1,3.8787662095879667,456,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,34.600231,-117.94751
60032,RCHTR,1.2929227316558976,2283,Solar Photovoltaic,0.908235832,1.29292174,0,0,10.2,-7.0,34.097728,-117.544529
60033,GEN01,166.6267180162293,1178,Solar Photovoltaic,118.070658,168.079826,0,0,10.2,-7.0,35.615573,-120.404352
60034,GEN01,192.4834489929327,1178,Solar Photovoltaic,136.235375,193.938261,0,0,10.2,-7.0,35.615573,-120.404352
60035,RPU1,9.438329691624773,781,Solar Photovoltaic,6.63012157,9.4383287,0,0,10.2,-7.0,33.97819,-117.38514
60039,FTRS,25.858435791382185,1384,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,37.379919,-121.130661
60043,GEN01,51.716870590931826,1506,Solar Photovoltaic,36.3294333,51.7168696,0,0,10.2,-7.0,34.901,-119.596
60049,GE,85.90000099138437,1625,Onshore Wind Turbine,37.3275131,85.9,0,0,23.8842105,-22.5631579,37.713311,-121.640353
60060,SDIA2,2.715136641988429,1521,Solar Photovoltaic,1.90729525,2.71513565,0,0,10.2,-7.0,32.729238,-117.207718
