,PlantCode,GenID,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon,pow_gen,gen_carbon_emission_rate
233,50061,GEN4,1118,Natural Gas Fired Combined Cycle,4.10002992,4.1,0,0,61.2301676,-35.8709497,32.778225,-117.070114,4.100000998,0.44
234,50089,S-17,1129,Natural Gas Internal Combustion Engine,1.50001103,1.5,0,0,61.5666667,-27.3666667,37.77656,-122.451878,1.500000916,0.44
235,50115,GEN1,1692,Natural Gas Fired Combustion Turbine,48.2003532,48.2,0,0,29.9,-16.1,35.0329,-117.701,48.20000099,0.44
236,50119,GENA,8434,Other Gases,18.3001349,18.3,0,0,11.3333333,-6.1,38.0417,-122.2583,18.30000081,0.77656
237,50119,GENB,8434,Other Gases,18.3001349,18.3,0,0,11.3333333,-6.1,38.0417,-122.2583,18.30000081,0.77656
238,50119,GENC,8434,Other Gases,18.3001349,18.3,0,0,11.3333333,-6.1,38.0417,-122.2583,18.30000081,0.77656
239,50131,K100,1920,Natural Gas Fired Combustion Turbine,38.4002833,38.4,0,0,0.0,0.0,36.1807,-120.3885,38.400001,0.44
240,50134,GTAG,1665,Natural Gas Fired Combustion Turbine,69.610085,75.0,0,0,0.0,0.0,35.452577,-118.985313,75.00000097,0.44
241,50134,GTBG,1665,Natural Gas Fired Combustion Turbine,69.610085,75.0,0,0,0.0,0.0,35.452577,-118.985313,75.00000097,0.44
242,50134,GTCG,1665,Natural Gas Fired Combustion Turbine,69.610085,75.0,0,0,0.0,0.0,35.452577,-118.985313,75.00000097,0.44
243,50134,GTDG,1665,Natural Gas Fired Combustion Turbine,69.610085,75.0,0,0,0.0,0.0,35.452577,-118.985313,75.00000097,0.44
244,50200,GEN1,686,Natural Gas Fired Combustion Turbine,2.8000205,2.8,0,0,24.5645161,-14.3219355,33.688721,-117.834793,2.800000977,0.44
245,50200,GEN2,686,Natural Gas Fired Combustion Turbine,3.3000242,3.3,0,0,24.5645161,-14.3219355,33.688721,-117.834793,3.300000977,0.44
246,50210,GEN1,1709,Geothermal,30.1002224,30.1,0,0,18.7,-10.0,33.1633,-115.6167,30.09999906,0.038
247,50210,GEN2,1709,Geothermal,9.50007018,9.5,0,0,13.1222222,-7.60444444,33.1633,-115.6167,9.499999063,0.038
248,50216,GN91,363,Natural Gas Fired Combined Cycle,82.0006055,82.0,0,0,39.7,-27.3,33.816647,-118.244841,82.00000097,0.44
249,50216,GN92,363,Natural Gas Fired Combined Cycle,82.0006055,82.0,0,0,39.7,-27.3,33.816647,-118.244841,82.00000097,0.44
250,50216,GN93,363,Natural Gas Fired Combined Cycle,82.0006055,82.0,0,0,39.7,-27.3,33.816647,-118.244841,82.00000097,0.44
251,50216,GN94,363,Natural Gas Fired Combined Cycle,82.0006055,82.0,0,0,39.7,-27.3,33.816647,-118.244841,82.00000097,0.44
