Plant state abbreviation,DOE/EIA ORIS plant or facility code,Utility ID,Plant latitude,Plant longitude,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant annual net generation,Plant annual CO2 emissions,plant_emission_rate
CA,56041,29116,33.9986,-118.2219,NG,GAS,608960.0,298334.875,0.4899088199553337
CA,62688,62628,37.228736,-121.738616,SUN,SOLAR,5643.0,0.0,0.0
CA,10480,34691,37.6451,-118.9143,GEO,GEOTHERMAL,57351.0,0.0,0.0
CA,10481,34691,37.6464,-118.9092,GEO,GEOTHERMAL,68597.001,0.0,0.0
CA,344,17609,37.220302,-119.337983,WAT,HYDRO,513546.0,0.0,0.0
CA,61115,60727,37.84013,-121.216191,SUN,SOLAR,1979.0,0.0,0.0
CA,57484,15399,34.9349,-118.4612,WND,WIND,490486.0,0.0,0.0
CA,57005,56431,38.40008,-121.96366,SUN,SOLAR,1753.0,0.0,0.0
CA,59607,58468,35.115278,-119.317778,SUN,SOLAR,45108.0,0.0,0.0
CA,61013,58661,37.945296,-122.377202,SUN,SOLAR,20212.0,0.0,0.0
CA,10748,12869,36.7131,-121.7686,LFG,BIOMASS,27259.0,0.001,3.668513151619649e-08
CA,57483,49981,37.789167,-121.601944,NG,GAS,90836.0,58313.351,0.6419629992513981
CA,57267,56635,38.016944,-121.765,NG,GAS,63231.0,47802.854,0.7560034476759817
CA,54912,11651,38.0169,-122.1117,NG,GAS,827535.0,298384.999,0.36057085077972534
CA,52063,59409,38.0314,-122.1139,WH,OTHF,13113.0,0.0,0.0
CA,59802,57128,37.405689,-121.949416,NG,GAS,7172.0,0.0,0.0
CA,58914,58789,34.237222,-116.054167,NG,GAS,82330.0,24245.05,0.2944862140167618
CA,535,16534,38.652731,-121.393336,NG,GAS,2195.0,1627.739,0.741566742596811
CA,151,12745,37.62936,-120.93139,DFO,OIL,2659.0,3358.304,1.2629951109439639
CA,58462,58451,33.694722,-114.739722,SUN,SOLAR,721339.0,0.0,0.0
CA,56471,17609,34.205556,-119.246944,NG,GAS,19740.0,11841.487,0.5998726950354609
CA,52076,54713,35.3161,-119.6597,NG,GAS,74921.0,50454.618,0.6734375942659602
CA,50612,60662,35.319503,-119.661992,NG,GAS,15387.0,7821.886,0.5083437967115098
CA,410,12312,37.522065,-120.31009,WAT,HYDRO,46925.0,0.0,0.0
CA,63361,62067,37.734761,-121.508945,SUN,SOLAR,1388.0,0.0,0.0
CA,61420,60059,36.989475,-120.878081,SUN,SOLAR,6152.0,0.0,0.0
CA,258,12312,37.52301,-120.329905,WAT,HYDRO,12524.0,0.0,0.0
CA,59265,59089,37.267778,-120.484444,SUN,SOLAR,3819.0,0.0,0.0
CA,57982,62060,35.670278,-120.566944,SUN,SOLAR,1340.0,0.0,0.0
CA,50535,63235,33.9461,-116.6769,WND,WIND,2282.0,0.0,0.0
CA,55393,2799,37.2207,-121.7457,NG,GAS,2566081.0,1117730.312,0.43557873348503023
CA,57313,57275,34.0578,-118.229722,SUN,SOLAR,1089.0,0.0,0.0
CA,62459,57128,37.378422,-121.899969,NG,GAS,7566.0,0.0,0.0
CA,425,15127,39.024801,-120.596383,WAT,HYDRO,788857.0,0.0,0.0
CA,401,11208,37.51,-118.569167,WAT,HYDRO,94971.0,0.0,0.0
CA,56639,59527,36.654114,-120.579727,NG,GAS,51141.0,35093.766,0.6862158737607791
CA,60336,60118,33.176627,-115.572788,SUN,SOLAR,130023.0,0.0,0.0
CA,60237,58468,33.162056,-115.531694,SUN,SOLAR,80381.0,0.0,0.0
CA,60315,60025,33.154761,-115.544918,SUN,SOLAR,40396.0,0.0,0.0
CA,52169,12687,35.2269,-119.6294,NG,GAS,806367.999,241218.815,0.29914234604937495
CA,7147,17609,34.088019,-117.039539,WAT,HYDRO,10602.999,0.0,0.0
CA,58698,58622,34.013056,-117.5375,SUN,SOLAR,2661.0,0.0,0.0
CA,56473,17609,34.0053,-117.5604,NG,GAS,16605.0,10097.053,0.6080730502860584
CA,56232,16609,32.8769,-117.166389,NG,GAS,73629.0,44105.199,0.5990193945320458
CA,62697,62150,37.38633,-121.96238,NG,GAS,39336.0,0.0,0.0
CA,59267,59090,37.267778,-120.4825,SUN,SOLAR,3812.0,0.0,0.0
CA,59411,59185,34.765,-117.323611,SUN,SOLAR,3962.0,0.0,0.0
CA,55161,57232,34.2925,-118.389444,LFG,BIOMASS,22541.0,0.0,0.0
CA,55094,57227,32.844845,-117.162747,LFG,BIOMASS,48556.0,0.0,0.0
CA,55160,57231,36.388,-119.394,LFG,BIOMASS,7044.0,0.0,0.0
CA,54015,57224,34.033206,-117.906129,LFG,BIOMASS,42896.0,0.0,0.0
CA,54567,61324,38.596283,-121.687518,LFG,BIOMASS,18770.001,0.0,0.0
CA,381,16612,37.809388,-120.299254,WAT,HYDRO,327961.0,0.0,0.0
CA,50821,2770,35.045,-118.2642,WND,WIND,52089.0,0.0,0.0
CA,50823,2770,35.046,-118.2757,WND,WIND,49167.0,0.0,0.0
CA,52143,2770,35.068,-118.2898,WND,WIND,48016.0,0.0,0.0
CA,52142,2770,35.0506,-118.2572,WND,WIND,51515.0,0.0,0.0
CA,52144,2770,35.076,-118.2487,WND,WIND,42302.0,0.0,0.0
CA,7072,3255,34.307444,-117.323548,WAT,HYDRO,77241.999,0.0,0.0
CA,57331,56660,35.017717,-117.339144,SUN,SOLAR,514484.0,0.0,0.0
CA,58056,57435,34.121667,-117.938333,NG,GAS,13431.0,5683.964,0.4231973791973792
CA,54951,12221,36.7056,-121.7714,OBG,BIOMASS,8145.999,980.498,0.120365592973925
CA,58633,60947,36.721111,-121.787778,SUN,SOLAR,1096.0,0.0,0.0
CA,57701,57026,38.116667,-121.821944,WND,WIND,197182.0,0.0,0.0
CA,55009,59380,40.846806,-121.956446,WAT,HYDRO,9971.0,0.0,0.0
CA,7646,22776,38.513056,-122.104444,WAT,HYDRO,44166.999,0.0,0.0
CA,63514,63226,36.585794,-119.469986,SUN,SOLAR,2908.0,0.0,0.0
CA,60007,17650,35.731362,-119.818712,SUN,SOLAR,35953.0,0.0,0.0
