Demand 07/12/2019undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,28620,26842,26842,26842,26842,26842,26842,26842,26842,26842,26842,26842,26842,25241,25241,25241,25241,25241,25241,25241,25241,25241,25241,25241,25241,24135,24135,24135,24135,24135,24135,24135,24135,24135,24135,24135,24135,23532,23532,23532,23532,23532,23532,23532,23532,23532,23532,23532,23532,23716,23716,23716,23716,23716,23716,23716,23716,23716,23716,23716,23716,24663,24663,24663,24663,24663,24663,24663,24663,24663,24663,24663,24663,25822,25822,25822,25822,25822,25822,25822,25822,25822,25822,25822,25822,27275,27275,27275,27275,27275,27275,27275,27275,27275,27275,27275,27275,28195,28195,28195,28195,28195,28195,28195,28195,28195,28195,28195,28195,29123,29123,29123,29123,29123,29123,29123,29123,29123,29123,29123,29123,30245,30245,30245,30245,30245,30245,30245,30245,30245,30245,30245,30245,31497,31497,31497,31497,31497,31497,31497,31497,31497,31497,31497,31497,32917,32917,32917,32917,32917,32917,32917,32917,32917,32917,32917,32917,34731,34731,34731,34731,34731,34731,34731,34731,34731,34731,34731,34731,36487,36487,36487,36487,36487,36487,36487,36487,36487,36487,36487,36487,38176,38176,38176,38176,38176,38176,38176,38176,38176,38176,38176,38176,39598,39598,39598,39598,39598,39598,39598,39598,39598,39598,39598,39598,40006,40006,40006,40006,40006,40006,40006,40006,40006,40006,40006,40006,39660,39660,39660,39660,39660,39660,39660,39660,39660,39660,39660,39660,38332,38332,38332,38332,38332,38332,38332,38332,38332,38332,38332,38332,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,37270,35794,35794,35794,35794,35794,35794,35794,35794,35794,35794,35794,35794,33078,33078,33078,33078,33078,33078,33078,33078,33078,33078,33078,33078,30338,30338,30338,30338,30338,30338,30338,30338,30338,30338,30338,30338
Hour-ahead forecast,27365,27055,27055,27055,26610,26610,26610,26121,26121,26121,25928,25928,25928,25460,25460,25460,25116,25116,25116,24584,24584,24584,24314,24314,24314,24102,24102,24102,23982,23982,23982,23647,23647,23647,23472,23472,23472,23326,23326,23326,23233,23233,23233,23169,23169,23169,23120,23120,23120,23283,23283,23283,23327,23327,23327,23458,23458,23458,23596,23596,23596,23769,23769,23769,24098,24098,24098,24133,24133,24133,24182,24182,24182,24620,24620,24620,24896,24896,24896,25217,25217,25217,25462,25462,25462,25949,25949,25949,26274,26274,26274,26430,26430,26430,26609,26609,26609,27235,27235,27235,27428,27428,27428,27505,27505,27505,27629,27629,27629,27826,27826,27826,27930,27930,27930,27884,27884,27884,28053,28053,28053,28397,28397,28397,28634,28634,28634,28857,28857,28857,29125,29125,29125,29402,29402,29402,29757,29757,29757,30038,30038,30038,30237,30237,30237,30519,30519,30519,30733,30733,30733,31134,31134,31134,31648,31648,31648,32137,32137,32137,32703,32703,32703,33177,33177,33177,33729,33729,33729,33993,33993,33993,34502,34502,34502,34810,34810,34810,35319,35319,35319,35708,35708,35708,36169,36169,36169,36361,36361,36361,36733,36733,36733,36991,36991,36991,37309,37309,37309,37349,37349,37349,37514,37514,37514,37725,37725,37725,37927,37927,37927,38184,38184,38184,38244,38244,38244,38170,38170,38170,38151,38151,38151,38060,38060,38060,37909,37909,37909,37517,37517,37517,37354,37354,37354,36873,36873,36873,36578,36578,36578,36318,36318,36318,36287,36287,36287,36163,36163,36163,35884,35884,35884,35412,35412,35412,35016,35016,35016,34446,34446,34446,33925,33925,33925,33163,33163,33163,32348,32348,32348,31643,31643,31643,30919,30919,30919,30119,30119,30119,29498,29498,29498,28944,28944,28944,28277,28277,28277
Demand,27353,27157,26992,26866,26771,26713,26580,26414,26281,26128,25986,25841,25652,25409,25290,25164,25040,24927,24805,24735,24729,24675,24544,24357,24250,24152,24067,23977,23908,23832,23720,23660,23613,23545,23469,23401,23356,23300,23287,23241,23186,23166,23254,23278,23244,23171,23121,23069,23100,23185,23256,23255,23283,23071,23070,23067,23043,23179,23180,23271,23368,23412,23621,23783,23819,23887,23983,24058,24136,24182,24177,24192,24243,24488,24689,24790,24869,24938,24988,25109,25236,25307,25372,25490,25616,25800,26070,26111,26145,26235,26269,26432,26535,26668,26774,26804,26859,26963,27096,27179,27203,27271,27266,27286,27337,27395,27439,27439,27431,27511,27501,27505,27543,27606,27621,27733,27796,27848,27941,28069,28094,28174,28294,28383,28435,28514,28615,28716,28783,28896,29014,29058,29171,29319,29449,29523,29580,29689,29793,29860,29999,30090,30097,30070,30157,30258,30577,30699,30835,30974,31134,31247,31414,31611,31758,31815,31953,32117,32333,32535,32682,32906,32958,33114,33252,33405,33513,33682,33870,33984,34081,34189,34371,34573,34593,34821,34926,35080,35258,35435,35543,35579,35592,35780,35927,36060,36108,36162,36304,36485,36590,36681,36832,36834,36841,36949,37030,37118,37239,37480,37571,37631,37755,37774,37858,37913,38047,38058,38096,38132,38253,38270,38377,38398,38444,38465,38391,38187,38126,38143,38168,38155,38233,38202,38211,38209,38233,38159,38046,37817,37688,37647,37536,37438,37293,37224,37106,37000,36837,36695,36504,36369,36352,36337,36295,36248,36164,36144,36065,36031,35952,35837,35650,35482,35471,35358,35179,35025,34867,34666,34454,34328,34112,33870,33505,33172,32905,32692,32478,32245,31993,31768,31508,31333,31098,30932,30678,30463,30384,30263,30024,29800,29599,29364,29167,28942,28708,28480,
Demand response event,
