Demand 11/01/2019undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,22443,21466,21466,21466,21466,21466,21466,21466,21466,21466,21466,21466,21466,20682,20682,20682,20682,20682,20682,20682,20682,20682,20682,20682,20682,20206,20206,20206,20206,20206,20206,20206,20206,20206,20206,20206,20206,20062,20062,20062,20062,20062,20062,20062,20062,20062,20062,20062,20062,20581,20581,20581,20581,20581,20581,20581,20581,20581,20581,20581,20581,22063,22063,22063,22063,22063,22063,22063,22063,22063,22063,22063,22063,24602,24602,24602,24602,24602,24602,24602,24602,24602,24602,24602,24602,25957,25957,25957,25957,25957,25957,25957,25957,25957,25957,25957,25957,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,23902,23902,23902,23902,23902,23902,23902,23902,23902,23902,23902,23902,23053,23053,23053,23053,23053,23053,23053,23053,23053,23053,23053,23053,22470,22470,22470,22470,22470,22470,22470,22470,22470,22470,22470,22470,22285,22285,22285,22285,22285,22285,22285,22285,22285,22285,22285,22285,22741,22741,22741,22741,22741,22741,22741,22741,22741,22741,22741,22741,23413,23413,23413,23413,23413,23413,23413,23413,23413,23413,23413,23413,24195,24195,24195,24195,24195,24195,24195,24195,24195,24195,24195,24195,25186,25186,25186,25186,25186,25186,25186,25186,25186,25186,25186,25186,26137,26137,26137,26137,26137,26137,26137,26137,26137,26137,26137,26137,27589,27589,27589,27589,27589,27589,27589,27589,27589,27589,27589,27589,27497,27497,27497,27497,27497,27497,27497,27497,27497,27497,27497,27497,26648,26648,26648,26648,26648,26648,26648,26648,26648,26648,26648,26648,25540,25540,25540,25540,25540,25540,25540,25540,25540,25540,25540,25540,23972,23972,23972,23972,23972,23972,23972,23972,23972,23972,23972,23972,22387,22387,22387,22387,22387,22387,22387,22387,22387,22387,22387,22387
Hour-ahead forecast,21478,21271,21271,21271,21054,21054,21054,20964,20964,20964,20704,20704,20704,20540,20540,20540,20456,20456,20456,20263,20263,20263,20066,20066,20066,19977,19977,19977,19874,19874,19874,19765,19765,19765,19685,19685,19685,19751,19751,19751,19746,19746,19746,19744,19744,19744,19775,19775,19775,20006,20006,20006,20094,20094,20094,20254,20254,20254,20495,20495,20495,21002,21002,21002,21441,21441,21441,21858,21858,21858,22291,22291,22291,23216,23216,23216,23910,23910,23910,24373,24373,24373,24836,24836,24836,25348,25348,25348,25512,25512,25512,25508,25508,25508,25303,25303,25303,25596,25596,25596,25577,25577,25577,25393,25393,25393,25102,25102,25102,25000,25000,25000,24721,24721,24721,24567,24567,24567,24312,24312,24312,24184,24184,24184,23982,23982,23982,23782,23782,23782,23562,23562,23562,23397,23397,23397,23264,23264,23264,23316,23316,23316,22858,22858,22858,23154,23154,23154,22911,22911,22911,22877,22877,22877,22914,22914,22914,22861,22861,22861,22859,22859,22859,22848,22848,22848,23055,23055,23055,23309,23309,23309,23452,23452,23452,23580,23580,23580,23850,23850,23850,23939,23939,23939,25148,25148,25148,24551,24551,24551,25157,25157,25157,24630,24630,24630,24789,24789,24789,25114,25114,25114,25366,25366,25366,25651,25651,25651,25849,25849,25849,26186,26186,26186,26597,26597,26597,26829,26829,26829,27450,27450,27450,27648,27648,27648,27519,27519,27519,27213,27213,27213,26999,26999,26999,26792,26792,26792,26570,26570,26570,26385,26385,26385,26174,26174,26174,25880,25880,25880,25625,25625,25625,25389,25389,25389,25152,25152,25152,24850,24850,24850,24522,24522,24522,24213,24213,24213,23837,23837,23837,23409,23409,23409,22986,22986,22986,22632,22632,22632,22271,22271,22271,21965,21965,21965,21617,21617,21617
Demand,21369,21326,21263,21201,21143,21088,21016,20989,20923,20847,20787,20729,20675,20578,20512,20429,20375,20345,20330,20235,20193,20151,20126,20069,20034,19991,19988,19965,19908,19866,19820,19788,19754,19775,19776,19773,19762,19765,19766,19735,19737,19712,19729,19726,19731,19734,19764,19788,19796,19873,19926,19948,19991,20057,20137,20219,20273,20338,20432,20513,20613,20858,21130,21289,21444,21486,21546,21691,21855,21980,22115,22266,22414,22839,23208,23428,23594,23764,23946,24165,24385,24526,24692,24801,24966,25241,25493,25583,25510,25614,25720,25754,25774,25759,25732,25714,25685,25720,25731,25721,25709,25677,25624,25550,25473,25407,25276,25196,25076,25067,25075,24984,24928,24821,24730,24653,24580,24535,24487,24418,24341,24212,24167,24087,23939,23848,23772,23752,23695,23622,23587,23541,23529,23481,23477,23401,23387,23327,23240,23251,23223,23168,23135,23108,23067,22942,22838,22749,22747,22741,22726,22732,22783,22726,22739,22792,22797,22823,22929,22961,22986,22981,23041,23067,23101,23141,23196,23242,23299,23316,23339,23340,23368,23409,23480,23500,23563,23647,23718,23779,23831,23877,23912,23994,24034,24127,24191,24255,24311,24359,24460,24495,24571,24615,24662,24745,24868,24929,25058,25164,25216,25295,25401,25542,25572,25623,25624,25739,25784,25913,25979,26057,26162,26237,26371,26425,26555,26603,26720,26888,27047,27221,27306,27371,27378,27388,27396,27370,27311,27198,27102,27058,26991,26914,26882,26808,26738,26702,26654,26589,26484,26398,26341,26291,26207,26135,26079,25983,25901,25848,25786,25692,25629,25561,25435,25369,25264,25163,25099,25014,24893,24806,24700,24607,24482,24361,24155,24048,23880,23786,23664,23517,23389,23267,23132,23019,22861,22702,22566,22436,22307,22191,22070,21960,21868,21763,21644,21567,21400
Demand response event,
