Net Demand 04/01/2019undefined,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,0:00
Hour-ahead forecast,20233,20025,20025,20025,19811,19811,19811,19560,19560,19560,19373,19373,19373,19155,19155,19155,19005,19005,19005,18915,18915,18915,18735,18735,18735,18737,18737,18737,18654,18654,18654,18536,18536,18536,18417,18417,18417,18440,18440,18440,18454,18454,18454,18481,18481,18481,18530,18530,18530,18769,18769,18769,18887,18887,18887,19127,19127,19127,19331,19331,19331,19805,19805,19805,20204,20204,20204,20673,20673,20673,21111,21111,21111,22045,22045,22045,22631,22631,22631,22931,22931,22931,23259,23259,23259,23595,23595,23595,23887,23887,23887,24091,24091,24091,24119,24119,24119,24086,24086,24086,24117,24117,24117,23969,23969,23969,23987,23987,23987,23923,23923,23923,23922,23922,23922,23695,23695,23695,23637,23637,23637,23464,23464,23464,23384,23384,23384,23245,23245,23245,23359,23359,23359,23119,23119,23119,23078,23078,23078,23017,23017,23017,23045,23045,23045,23048,23048,23048,23076,23076,23076,23174,23174,23174,23329,23329,23329,23384,23384,23384,23510,23510,23510,23479,23479,23479,23600,23600,23600,23716,23716,23716,23831,23831,23831,23958,23958,23958,24245,24245,24245,24295,24295,24295,24463,24463,24463,24632,24632,24632,24824,24824,24824,25022,25022,25022,25209,25209,25209,25406,25406,25406,25453,25453,25453,25641,25641,25641,25745,25745,25745,26100,26100,26100,26134,26134,26134,26180,26180,26180,26282,26282,26282,26418,26418,26418,26656,26656,26656,26949,26949,26949,27479,27479,27479,27887,27887,27887,28223,28223,28223,27579,27579,27579,27446,27446,27446,27230,27230,27230,26832,26832,26832,26316,26316,26316,25943,25943,25943,25582,25582,25582,25117,25117,25117,24530,24530,24530,24023,24023,24023,23587,23587,23587,23090,23090,23090,22609,22609,22609,22189,22189,22189,21814,21814,21814,21425,21425,21425
Demand,20126,20032,19951,19847,19779,19724,19693,19615,19542,19442,19358,19290,19265,19223,19175,19108,19015,18964,18902,18873,18905,18878,18858,18796,18700,18699,18653,18627,18583,18518,18482,18477,18441,18439,18433,18416,18429,18449,18475,18460,18440,18461,18458,18495,18516,18497,18505,18486,18559,18689,18788,18833,18820,18933,18979,19047,19139,19213,19255,19285,19376,19642,19917,20050,20147,20244,20334,20560,20710,20825,20992,21114,21301,21664,21977,22232,22513,22575,22733,22906,23037,23075,23170,23189,23252,23449,23667,23755,23870,23903,23899,23935,23946,23965,23897,23921,23948,23941,24040,23999,24084,24134,23909,23982,23938,23870,23912,23932,23846,23819,23784,23778,23771,23727,23655,23641,23605,23572,23519,23481,23479,23408,23366,23385,23725,23320,23209,23184,23160,23117,23168,23139,23099,23087,23072,23059,23059,23058,23069,23044,23054,23093,23045,23048,23066,23044,23075,23067,23118,23117,23125,23151,23238,23273,23275,23309,23259,23279,23319,23332,23360,23404,23398,23495,23532,23590,23595,23645,23729,23701,23707,23801,23942,23949,23964,23966,24027,24070,24114,24190,24254,24294,24278,24343,24403,24486,24596,24655,24691,24743,24841,24935,25016,25073,25098,25124,25120,25196,25257,25305,25387,25451,25548,25639,25726,25748,25745,25812,25843,25797,25854,25918,25951,26004,26093,26235,26329,26186,26151,26195,26245,26262,26291,26377,26448,26471,26541,26643,26720,26732,26856,26978,27191,27312,27464,27594,27667,27702,27718,27685,27684,27653,27570,27416,27413,27353,27282,27170,27042,26945,26797,26714,26584,26476,26419,26316,26178,26031,25931,25778,25667,25537,25328,25160,25026,24802,24633,24434,24273,24109,23935,23762,23587,23399,23179,23070,22938,22800,22621,22478,22342,22209,22077,21946,21741,21620,21503,21436,
Day-ahead net forecast,19900,19777,19712,19627,19527,19459,19425,19359,19301,19210,19152,19102,19077,19049,19005,18983,18883,18837,18763,18691,18627,18495,18336,18260,18140,18154,18205,18219,18272,18232,18232,18225,18192,18185,18171,18186,18197,18222,18251,18235,18186,18152,18161,18148,18139,18121,18110,18058,18107,18243,18370,18459,18495,18542,18600,18677,18770,18786,18848,18892,18972,19159,19502,19658,19803,19878,19997,20146,20317,20443,20552,20709,20856,21142,21498,21763,21983,22173,22283,22475,22636,22703,22773,22746,22691,22686,22792,22745,22662,22456,22265,22007,21701,21418,21018,20634,20221,19986,19836,19624,18989,18526,18377,18275,17941,17776,17415,17062,16830,16472,16420,16360,16133,15987,15849,15751,15653,15383,15387,15358,15189,14990,14681,14620,14744,14596,14136,13984,13921,13987,14134,14276,14130,14079,13959,13847,14028,13913,13647,13631,13635,13588,13582,13659,13562,13314,13325,13225,13117,13203,13357,13464,13527,13514,13499,13516,13531,13641,13823,13869,13829,13886,13814,13936,13979,14051,14187,14241,14232,14343,14457,14504,14508,14567,14537,14726,14746,14792,14798,14847,15013,15310,15561,15738,16193,16538,16924,17174,17332,17450,17676,17638,17686,18022,18279,18491,18603,18821,19097,19373,19617,19825,20025,20047,20042,20206,20320,20433,20544,20886,21220,21735,22166,22687,22964,23114,23372,23581,23744,23997,24178,24462,24667,24930,25119,25295,25454,25623,25768,25820,25892,26033,26180,26327,26449,26546,26598,26630,26648,26609,26522,26528,26394,26215,26091,26029,25953,25817,25660,25539,25349,25208,25053,24935,24853,24803,24628,24469,24389,24243,24061,24016,23831,23659,23525,23367,23170,22992,22810,22661,22503,22370,22211,22057,21837,21691,21616,21459,21321,21140,21039,20903,20808,20692,20549,20353,20215,20143,
Large hydro,3939,3882,3882,3810,3806,3801,3804,3742,3715,3744,3753,3743,3730,3767,3808,3800,3792,3762,3752,3738,3726,3702,3673,3725,3797,3743,3753,3769,3782,3761,3733,3668,3658,3710,3725,3746,3757,3749,3789,3744,3737,3756,3752,3771,3779,3780,3778,3783,3763,3806,3851,3881,3915,3939,3939,3948,3955,3943,3935,3957,3980,4104,4193,4222,4221,4233,4235,4245,4251,4261,4255,4252,4211,4144,4234,4198,4182,4216,4295,4227,4214,4215,4222,4195,4106,4069,4088,4066,4030,4027,4045,3983,4008,3987,3980,3989,3904,3718,3668,3660,3555,3491,3594,3668,3676,3670,3655,3623,3622,3625,3610,3651,3639,3601,3591,3623,3640,3619,3600,3629,3624,3357,3397,3390,3363,3379,3344,3308,3350,3387,3428,3437,3364,3287,3248,3235,3275,3303,3245,3237,3240,3235,3247,3235,3178,3126,3157,3172,3203,3187,3235,3254,3272,3170,3113,3099,3146,3276,3309,3272,3253,3248,3242,3281,3286,3219,3230,3249,3199,3383,3433,3394,3360,3398,3416,3227,3134,3134,3122,3130,3136,3149,3119,3190,3281,3365,3448,3559,3741,3692,3717,3683,3587,3670,3749,3773,3712,3704,3725,3835,4200,4294,4329,4190,4107,4091,3993,3900,3903,4082,4290,4303,4277,4289,4290,4199,4072,4202,4332,4372,4405,4584,4671,4722,4779,4776,4794,4801,4834,4843,4831,4782,4744,4747,4748,4779,4812,4803,4782,4778,4785,4775,4818,4752,4745,4624,4664,4793,4806,4773,4739,4765,4638,4699,4606,4567,4503,4500,4545,4479,4407,4389,4364,4356,4301,4268,4244,4205,4175,4175,4168,4175,4161,4161,4167,4161,4119,3997,3954,3945,3957,3944,3929,3919,3916,3912,3870,3880,
Imports,6386,6315,6396,6463,6449,6411,6394,6382,6367,6331,6343,6347,6409,6349,6352,6351,6327,6328,6292,6273,6269,6170,6108,5993,5859,5922,6036,6093,6080,6135,6221,6255,6283,6273,6280,6301,6350,6344,6381,6438,6456,6460,6466,6469,6441,6416,6402,6324,6332,6300,6318,6317,6267,6297,6315,6361,6397,6441,6479,6540,6644,6866,7084,7144,7143,7160,7163,7222,7325,7332,7234,7317,7457,7815,8049,8250,8212,8264,8367,8408,8555,8526,8549,8471,8416,8605,8645,8616,8589,8484,8404,8456,8399,8293,8190,7966,7725,7654,7514,7339,7024,6751,6570,6474,6254,6159,5906,5550,5278,5210,5286,5166,5150,5135,5021,4897,4708,4539,4560,4400,4306,4308,4310,4292,4644,4188,4083,3960,3819,3859,3961,4100,4142,4181,4087,4006,4073,3945,3803,3815,3800,3754,3745,3819,3754,3551,3537,3410,3318,3341,3436,3468,3488,3557,3549,3595,3530,3543,3692,3728,3730,3781,3717,3784,3815,3855,3937,3962,3995,3856,3937,4119,4201,4139,4108,4395,4548,4631,4750,4750,4764,4925,5072,5277,5549,5756,5828,5858,5818,6042,6117,5991,6003,6261,6196,6135,6239,6464,6603,6686,6641,6745,6898,6962,7010,7074,7195,7253,7172,7289,7466,7750,8108,8377,8271,8279,8408,8445,8555,8704,8833,8823,8913,8737,8816,8815,8794,8845,8862,8826,8849,8744,8444,8374,8448,8727,8665,8626,8687,8793,9024,8940,9031,9021,9234,9307,9158,9162,9094,9101,9193,9012,8941,8822,8837,8770,8855,8804,8657,8716,8776,8817,8727,8567,8467,8440,8262,8137,7995,7900,7863,7815,7716,7646,7590,7617,7628,7683,7595,7581,7524,7545,7518,7512,7468,7521,7573,7435,
netd,9575,9580,9434,9354,9272,9247,9227,9235,9219,9135,9056,9012,8938,8933,8845,8832,8764,8747,8719,8680,8632,8623,8555,8542,8484,8489,8416,8357,8410,8336,8278,8302,8251,8202,8166,8139,8090,8129,8081,8053,7993,7936,7943,7908,7919,7925,7930,7951,8012,8137,8201,8261,8313,8306,8346,8368,8418,8402,8434,8395,8348,8189,8225,8292,8439,8485,8599,8679,8741,8850,9063,9140,9188,9183,9215,9315,9589,9693,9621,9840,9867,9962,10002,10080,10169,10012,10059,10063,10043,9945,9816,9568,9294,9138,8848,8679,8592,8614,8654,8625,8410,8284,8213,8133,8011,7947,7854,7889,7930,7637,7524,7543,7344,7251,7237,7231,7305,7225,7227,7329,7259,7325,6974,6938,6737,7029,6709,6716,6752,6741,6745,6739,6624,6611,6624,6606,6680,6665,6599,6579,6595,6599,6590,6605,6630,6637,6631,6643,6596,6675,6686,6742,6767,6787,6837,6822,6855,6822,6822,6869,6846,6857,6855,6871,6878,6977,7020,7030,7038,7104,7087,6991,6947,7030,7013,7104,7064,7027,6926,6967,7113,7236,7370,7271,7363,7417,7648,7757,7773,7716,7842,7964,8096,8091,8334,8583,8652,8653,8769,8852,8776,8786,8798,8895,8925,9041,9132,9280,9469,9515,9464,9682,9781,10021,10403,10636,10892,10934,10857,10921,10940,11055,11083,11471,11524,11704,11866,11977,12072,12151,12212,12507,12992,13206,13253,13040,13121,13201,13179,13038,12713,12813,12545,12442,12112,12098,12131,11862,11760,11665,11417,11431,11474,11414,11410,11466,11270,11165,11187,11048,10878,10810,10740,10736,10757,10659,10664,10650,10640,10586,10472,10380,10334,10250,10080,9913,9869,9779,9772,9614,9558,9414,9361,9261,9165,8920,8772,8828,
