county,c_vec
Alameda County,86.12045777238598
Alpine County,0.07651148460046375
Amador County,5.698470860756683
Butte County,40.6540716217638
Calaveras County,7.369704434388916
Colusa County,17.960316535253785
Contra Costa County,131.03345351956096
El Dorado County,8.722752779259986
Fresno County,36.48044184735457
Glenn County,10.657131028272547
Humboldt County,10.220813637630506
Imperial County,15.149599783357692
Inyo County,17.04636460449763
Kern County,148.89679361726616
Kings County,3.8120073292057826
Lake County,2.3118124129654003
Lassen County,11.374726613429624
Los Angeles County,1162.8528825556068
Madera County,5.334086609914903
Marin County,11.248305747986
Mariposa County,1.5025811323635878
Mendocino County,1.3322110638600595
Merced County,16.284495878497847
Modoc County,5.174386108937259
Mono County,3.431106674352535
Monterey County,31.29463706214943
Napa County,15.521840858048233
Nevada County,13.864264343069777
Orange County,275.0562149922532
Placer County,32.56950923743571
Plumas County,17.9505774919274
Riverside County,159.33882557597119
Sacramento County,191.9501134571105
San Benito County,7.464121487450077
San Bernardino County,277.1224033448736
San Diego County,347.51013369708323
San Francisco County,18.55652103507917
San Joaquin County,65.08967996874684
San Luis Obispo County,0.491204827070086
San Mateo County,33.630970602039454
Santa Barbara County,25.12078530955811
Santa Clara County,122.70567669226955
Santa Cruz County,3.0726216250101865
Shasta County,38.071788003818256
Sierra County,2.7512757332677227
Siskiyou County,11.034340773511419
Solano County,46.39962095973614
Sonoma County,13.595818765285173
Stanislaus County,65.57906933104066
Sutter County,16.329389863788073
Tehama County,7.008865575450999
Trinity County,7.032334517187798
Tulare County,90.4547340344916
Tuolumne County,12.628258290558762
Ventura County,90.16946268355078
Yolo County,12.556780666651026
Yuba County,15.756741277626524
