county,c_vec
Alameda County,155.97167834555736
Alpine County,0.36733033901769246
Amador County,22.13778810861573
Butte County,54.91114478389126
Calaveras County,16.692580905906205
Colusa County,23.338905743999373
Contra Costa County,217.10514369253121
El Dorado County,19.69161445188156
Fresno County,47.003578605482076
Glenn County,15.11654897237775
Humboldt County,15.748238663674627
Imperial County,66.54889656728608
Inyo County,30.043877978557433
Kern County,225.52300098828468
Kings County,24.11001631731929
Lake County,4.252409050675525
Lassen County,16.28156748137469
Los Angeles County,1635.364659971788
Madera County,7.490359710146851
Marin County,16.009813900356548
Mariposa County,2.2276608634062796
Mendocino County,5.408086086923586
Merced County,24.82847275532212
Modoc County,8.037774352021877
Mono County,5.5240340777281185
Monterey County,48.635109460257155
Napa County,19.79436658955942
Nevada County,23.326170470237116
Orange County,438.67750881225794
Placer County,57.335801278379314
Plumas County,24.55441091690819
Riverside County,271.44167664761915
Sacramento County,325.8874601019494
San Benito County,3.81506369588364
San Bernardino County,421.8603400418734
San Diego County,544.7417180899673
San Francisco County,32.07893496137806
San Joaquin County,137.57759254264795
San Luis Obispo County,1.3548576250649471
San Mateo County,67.32590274114114
Santa Barbara County,37.795833703324604
Santa Clara County,173.94201716074303
Santa Cruz County,11.309413557921369
Shasta County,54.134102675117305
Sierra County,4.3192675056806715
Siskiyou County,16.723182924681723
Solano County,76.58312971819291
Sonoma County,27.757821888783102
Stanislaus County,91.50084059029993
Sutter County,22.596765393266587
Tehama County,10.1779695053125
Trinity County,10.38735816269026
Tulare County,115.0691956208859
Tuolumne County,20.850581858531694
Ventura County,138.4374140699125
Yolo County,17.825295796071345
Yuba County,21.063227673161794
